Player Name,Player Reference,Starter,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Game Reference,Team,Period
Bam Adebayo,adebaba01,True,35:49,.559,.538,.000,.231,3.0,14.1,8.2,17.0,1.5,0.0,12.3,20.0,110,132,-2.2,202401170TOR,MIA,game
Tyler Herro,herroty01,True,32:23,.400,.400,.450,.000,3.4,23.4,12.7,14.5,0.0,0.0,13.0,31.2,80,132,-10.9,202401170TOR,MIA,game
Jimmy Butler,butleji01,True,30:48,.606,.545,.000,.455,7.1,12.3,9.5,24.6,3.4,0.0,7.0,20.3,131,129,6.8,202401170TOR,MIA,game
Kyle Lowry,lowryky01,True,29:00,.222,.222,.667,.000,3.8,4.4,4.0,13.2,0.0,3.3,10.0,15.1,65,137,-13.2,202401170TOR,MIA,game
Nikola Jović,jovicni01,True,21:01,.506,.500,.222,.222,15.6,24.0,19.5,14.3,0.0,4.6,16.8,24.8,100,130,-1.7,202401170TOR,MIA,game
Caleb Martin,martica02,False,25:37,.850,.800,.000,.400,4.3,9.9,6.9,28.0,0.0,0.0,14.5,11.8,158,137,5.0,202401170TOR,MIA,game
Josh Richardson,richajo01,False,23:23,.357,.357,.571,.000,0.0,5.4,2.5,0.0,2.2,8.2,12.5,15.0,66,128,-8.7,202401170TOR,MIA,game
Duncan Robinson,robindu01,False,21:19,.636,.636,.455,.000,5.1,11.9,8.2,8.2,0.0,0.0,15.4,26.8,107,137,-0.4,202401170TOR,MIA,game
Haywood Highsmith,highsha01,False,11:32,.500,.500,.500,.000,18.9,11.0,15.2,0.0,0.0,8.3,0.0,7.6,134,133,-0.5,202401170TOR,MIA,game
Thomas Bryant,bryanth01,False,4:26,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,200,138,-3.6,202401170TOR,MIA,game
Orlando Robinson,robinor01,False,2:21,,,,,0.0,53.8,24.9,49.8,0.0,0.0,,0.0,215,123,14.6,202401170TOR,MIA,game
Cole Swider,swideco01,False,2:21,.500,.500,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,33.3,56.1,58,141,-26.1,202401170TOR,MIA,game
RJ Barrett,barrerj01,True,36:20,.659,.679,.214,.929,10.4,15.0,12.9,12.0,0.0,0.0,0.0,24.6,148,110,2.8,202401170TOR,TOR,game
Scottie Barnes,barnesc01,True,33:57,.608,.594,.375,.063,7.4,9.6,8.6,35.0,3.1,2.3,23.3,28.6,115,104,2.8,202401170TOR,TOR,game
Gary Trent Jr.,trentga02,True,30:52,1.077,1.077,.692,.000,0.0,7.1,3.8,0.0,1.7,0.0,0.0,19.1,199,109,17.6,202401170TOR,TOR,game
Immanuel Quickley,quickim01,True,30:18,.504,.469,.375,.125,4.2,25.2,15.5,40.2,0.0,0.0,10.6,28.2,125,107,0.3,202401170TOR,TOR,game
Jontay Porter,portejo01,True,18:10,.429,.429,.571,.000,13.9,12.0,12.9,13.3,0.0,8.5,0.0,17.5,127,105,-1.5,202401170TOR,TOR,game
Thaddeus Young,youngth01,False,28:02,.363,.333,.000,.333,9.0,23.3,16.7,8.2,1.9,0.0,0.0,11.1,116,104,-7.3,202401170TOR,TOR,game
Dennis Schröder,schrode01,False,26:43,.750,.750,.833,.000,0.0,4.1,2.2,27.2,2.0,0.0,14.3,11.9,155,109,2.8,202401170TOR,TOR,game
Chris Boucher,bouchch01,False,17:35,.333,.333,.333,.000,14.4,31.0,23.3,0.0,0.0,4.4,0.0,7.7,114,102,-6.4,202401170TOR,TOR,game
Gradey Dick,dickgr01,False,11:33,1.500,1.500,1.000,.000,0.0,0.0,0.0,45.3,9.0,0.0,50.0,15.7,142,96,21.6,202401170TOR,TOR,game
Javon Freeman-Liberty,freemja01,False,2:21,.333,.333,.000,.000,53.8,0.0,24.9,0.0,0.0,0.0,0.0,57.9,97,115,-22.1,202401170TOR,TOR,game
Garrett Temple,templga01,False,2:21,.000,.000,1.000,.000,0.0,46.4,24.9,0.0,22.2,0.0,0.0,19.3,0,54,0.7,202401170TOR,TOR,game
Jalen McDaniels,mcdanja01,False,1:48,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,29.0,0.0,0.0,25.2,0,55,-1.9,202401170TOR,TOR,game
Mikal Bridges,bridgmi01,True,33:48,.509,.472,.500,.333,0.0,15.4,7.7,22.7,0.0,2.4,4.6,32.4,104,124,-5.6,202401170POR,BRK,game
Spencer Dinwiddie,dinwisp01,True,32:27,.857,.813,.500,.875,0.0,8.0,4.0,37.5,1.7,0.0,8.3,18.8,167,124,8.1,202401170POR,BRK,game
Dorian Finney-Smith,finnedo01,True,32:02,.595,.500,.800,.400,4.0,16.2,10.1,4.7,3.4,0.0,14.5,10.9,112,118,-3.8,202401170POR,BRK,game
Nic Claxton,claxtni01,True,31:49,.638,.800,.000,2.000,8.2,40.8,24.5,0.0,5.2,2.6,9.6,16.5,117,106,-1.3,202401170POR,BRK,game
Cameron Johnson,johnsca02,True,26:39,.722,.722,.333,.000,4.9,9.7,7.3,37.2,0.0,3.1,0.0,17.1,158,125,6.9,202401170POR,BRK,game
Cam Thomas,thomaca02,False,21:40,.508,.429,.571,.286,0.0,0.0,0.0,29.0,0.0,0.0,11.3,20.7,109,130,-4.9,202401170POR,BRK,game
Royce O'Neale,onealro01,False,20:26,.250,.250,.750,.000,0.0,19.0,9.5,21.6,0.0,0.0,33.3,14.9,62,125,-14.5,202401170POR,BRK,game
Lonnie Walker IV,walkelo01,False,18:50,.650,.650,.700,.000,0.0,6.9,3.4,0.0,2.9,0.0,9.1,29.5,101,121,0.3,202401170POR,BRK,game
Dennis Smith Jr.,smithde03,False,14:00,.250,.250,.250,.000,18.5,9.3,13.9,21.7,7.8,0.0,20.0,18.1,86,110,-4.4,202401170POR,BRK,game
Trendon Watford,watfotr01,False,8:19,1.000,1.000,1.000,.000,0.0,0.0,0.0,49.2,0.0,0.0,25.0,24.3,137,129,12.6,202401170POR,BRK,game
Harry Giles,gilesha01,False,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202401170POR,BRK,game
Day'Ron Sharpe,sharpda01,False,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,202401170POR,BRK,game
Anfernee Simons,simonan01,True,38:47,.460,.425,.350,.200,0.0,13.4,6.7,15.4,0.0,0.0,0.0,26.6,109,120,-4.3,202401170POR,POR,game
Jerami Grant,grantje01,True,35:35,.577,.577,.154,.000,14.6,14.6,14.6,5.8,0.0,0.0,7.1,37.3,116,120,2.5,202401170POR,POR,game
Malcolm Brogdon,brogdma01,True,30:17,.621,.583,.500,.167,0.0,21.4,10.7,29.3,1.8,0.0,0.0,20.2,146,115,7.8,202401170POR,POR,game
