Franchise,Lg,From,To,Yrs,G,W,L,W/L%,Plyfs,Div,Conf,Champ,Status,Team Abbr,Current Abbr
Atlanta Hawks,NBA,1968-69,2023-24,56,4492,2217,2275,0.494,36,6.0,0,0,active,ATL,ATL
St. Louis Hawks,NBA,1955-56,1967-68,13,1005,553,452,0.55,12,6.0,0,1,active,STL,ATL
Milwaukee Hawks,NBA,1951-52,1954-55,4,281,91,190,0.324,0,0.0,0,0,active,MLH,ATL
Tri-Cities Blackhawks,NBA,1949-50,1950-51,2,132,54,78,0.409,1,0.0,0,0,active,TRI,ATL
Boston Celtics,NBA/BAA,1946-47,2023-24,78,6087,3613,2474,0.594,60,33.0,10,17,active,BOS,BOS
Brooklyn Nets,NBA,2012-13,2023-24,12,936,435,501,0.465,8,0.0,0,0,active,BRK,BRK
New Jersey Nets,NBA,1977-78,2011-12,35,2822,1186,1636,0.42,16,4.0,2,0,active,NJN,BRK
New York Nets,NBA,1976-77,1976-77,1,82,22,60,0.268,0,0.0,0,0,active,NYN,BRK
New York Nets,ABA,1968-69,1975-76,8,666,338,328,0.508,7,1.0,0,2,active,NYA,BRK
New Jersey Americans,ABA,1967-68,1967-68,1,78,36,42,0.462,0,0.0,0,0,active,NJA,BRK
Charlotte Hornets,NBA,2014-15,2023-24,10,765,331,434,0.433,1,0.0,0,0,active,CHO,CHO
Charlotte Bobcats,NBA,2004-05,2013-14,10,804,293,511,0.364,2,0.0,0,0,active,CHA,CHO
Charlotte Hornets,NBA,1988-89,2001-02,14,1116,542,574,0.486,7,0.0,0,0,active,CHH,CHO
Chicago Bulls,NBA,1966-67,2023-24,58,4653,2370,2283,0.509,37,9.0,6,6,active,CHI,CHI
Cleveland Cavaliers,NBA,1970-71,2023-24,54,4324,2020,2304,0.467,23,7.0,5,1,active,CLE,CLE
Dallas Mavericks,NBA,1980-81,2023-24,44,3516,1779,1737,0.506,24,4.0,2,1,active,DAL,DAL
Denver Nuggets,NBA,1976-77,2023-24,48,3842,1933,1909,0.503,29,10.0,1,1,active,DEN,DEN
Denver Nuggets,ABA,1974-75,1975-76,2,168,125,43,0.744,2,2.0,0,0,active,DNA,DEN
Denver Rockets,ABA,1967-68,1973-74,7,576,288,288,0.5,7,1.0,0,0,active,DNR,DEN
Detroit Pistons,NBA,1957-58,2023-24,67,5351,2508,2843,0.469,34,9.0,5,3,active,DET,DET
Fort Wayne Pistons,NBA/BAA,1948-49,1956-57,9,619,313,306,0.506,8,2.0,0,0,active,FTW,DET
Golden State Warriors,NBA,1971-72,2023-24,53,4242,2062,2180,0.486,20,7.0,7,5,active,GSW,GSW
San Francisco Warriors,NBA,1962-63,1970-71,9,729,330,399,0.453,5,2.0,0,0,active,SFW,GSW
Philadelphia Warriors,NBA/BAA,1946-47,1961-62,16,1103,558,545,0.506,12,3.0,0,2,active,PHW,GSW
Houston Rockets,NBA,1971-72,2023-24,53,4250,2233,2017,0.525,33,8.0,4,2,active,HOU,HOU
San Diego Rockets,NBA,1967-68,1970-71,4,328,119,209,0.363,1,0.0,0,0,active,SDR,HOU
Indiana Pacers,NBA,1976-77,2023-24,48,3842,1914,1928,0.498,27,6.0,1,0,active,IND,IND
Indiana Pacers,ABA,1967-68,1975-76,9,744,427,317,0.574,9,3.0,0,3,active,INA,IND
Los Angeles Clippers,NBA,1984-85,2023-24,40,3183,1383,1800,0.434,14,2.0,0,0,active,LAC,LAC
San Diego Clippers,NBA,1978-79,1983-84,6,492,186,306,0.378,0,0.0,0,0,active,SDC,LAC
Buffalo Braves,NBA,1970-71,1977-78,8,656,259,397,0.395,3,0.0,0,0,active,BUF,LAC
Los Angeles Lakers,NBA,1960-61,2023-24,64,5139,3076,2063,0.599,52,29.0,19,12,active,LAL,LAL
Minneapolis Lakers,NBA/BAA,1948-49,1959-60,12,839,457,382,0.545,11,4.0,0,5,active,MNL,LAL
Memphis Grizzlies,NBA,2001-02,2023-24,23,1825,890,935,0.488,13,2.0,0,0,active,MEM,MEM
Vancouver Grizzlies,NBA,1995-96,2000-01,6,460,101,359,0.22,0,0.0,0,0,active,VAN,MEM
Miami Heat,NBA,1988-89,2023-24,36,2858,1505,1353,0.527,24,16.0,7,3,active,MIA,MIA
Milwaukee Bucks,NBA,1968-69,2023-24,56,4499,2375,2124,0.528,35,18.0,3,2,active,MIL,MIL
Minnesota Timberwolves,NBA,1989-90,2023-24,35,2767,1130,1637,0.408,11,1.0,0,0,active,MIN,MIN
New Orleans Pelicans,NBA,2013-14,2023-24,11,855,396,459,0.463,4,0.0,0,0,active,NOP,NOP
NO/Ok. City Hornets,NBA,2005-06,2006-07,2,164,77,87,0.47,0,0.0,0,0,active,NOK,NOP
New Orleans Hornets,NBA,2002-03,2012-13,9,722,342,380,0.474,5,1.0,0,0,active,NOH,NOP
New York Knicks,NBA/BAA,1946-47,2023-24,78,6078,2957,3121,0.487,44,8.0,4,2,active,NYK,NYK
Oklahoma City Thunder,NBA,2008-09,2023-24,16,1248,705,543,0.565,11,5.0,1,0,active,OKC,OKC
Seattle SuperSonics,NBA,1967-68,2007-08,41,3330,1745,1585,0.524,22,6.0,3,1,active,SEA,OKC
Orlando Magic,NBA,1989-90,2023-24,35,2776,1298,1478,0.468,16,6.0,2,0,active,ORL,ORL
Philadelphia 76ers,NBA,1963-64,2023-24,61,4900,2510,2390,0.512,39,9.0,5,2,active,PHI,PHI
Syracuse Nationals,NBA,1949-50,1962-63,14,1013,576,437,0.569,14,3.0,0,1,active,SYR,PHI
Phoenix Suns,NBA,1968-69,2023-24,56,4498,2413,2085,0.536,32,8.0,3,0,active,PHO,PHO
Portland Trail Blazers,NBA,1970-71,2023-24,54,4334,2286,2048,0.527,37,6.0,3,1,active,POR,POR
Sacramento Kings,NBA,1985-86,2023-24,39,3102,1327,1775,0.428,11,3.0,0,0,active,SAC,SAC
Kansas City Kings,NBA,1975-76,1984-85,10,820,381,439,0.465,4,1.0,0,0,active,KCK,SAC
Kansas City-Omaha Kings,NBA,1972-73,1974-75,3,246,113,133,0.459,1,0.0,0,0,active,KCO,SAC
Cincinnati Royals,NBA,1957-58,1971-72,15,1189,555,634,0.467,7,0.0,0,0,active,CIN,SAC
Rochester Royals,NBA/BAA,1948-49,1956-57,9,620,357,263,0.576,7,2.0,0,1,active,ROC,SAC
San Antonio Spurs,NBA,1976-77,2023-24,48,3840,2294,1546,0.597,39,22.0,6,5,active,SAS,SAS
San Antonio Spurs,ABA,1973-74,1975-76,3,252,146,106,0.579,3,0.0,0,0,active,SAA,SAS
Texas Chaparrals,ABA,1970-71,1970-71,1,84,30,54,0.357,1,0.0,0,0,active,TEX,SAS
