Game Reference,Team,Period,Starter,Player Name,Player Reference,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Reason
197410180INA,SAA,game,True,Swen Nater,natersw01,56:00,7,11.0,0.636,0,,,3,3.0,1.0,,,26.0,3.0,,,5.0,3.0,17,,
197410180INA,SAA,game,True,James Silas,silasja01,55:00,15,20.0,0.75,0,,,10,12.0,0.833,,,4.0,1.0,,,6.0,1.0,40,,
197410180INA,SAA,game,True,George Gervin,gervige01,47:00,9,22.0,0.409,0,,,6,7.0,0.857,,,13.0,4.0,,,5.0,2.0,24,,
197410180INA,SAA,game,True,Rich Jones,jonesri01,35:00,6,14.0,0.429,0,,,6,7.0,0.857,,,8.0,2.0,,,0.0,6.0,18,,
197410180INA,SAA,game,True,Donnie Freeman,freemdo01,35:00,4,12.0,0.333,0,,,7,12.0,0.583,,,4.0,2.0,,,6.0,6.0,15,,
197410180INA,SAA,game,False,Coby Dietrick,dietrco01,29:00,5,6.0,0.833,0,,,1,2.0,0.5,,,7.0,2.0,,,2.0,2.0,11,,
197410180INA,SAA,game,False,George Karl,karlge01,26:00,1,6.0,0.167,0,,,0,0.0,,,,5.0,0.0,,,4.0,1.0,2,,
197410180INA,SAA,game,False,Chuck Terry,terrych01,7:00,1,2.0,0.5,0,,,0,0.0,,,,1.0,0.0,,,2.0,2.0,2,,
197410180INA,INA,game,True,George McGinnis,mcginge01,49:00,15,32.0,0.469,0,1.0,0.0,7,10.0,0.7,,,14.0,6.0,,,5.0,5.0,37,,
197410180INA,INA,game,True,Bob Netolicky,netolbo01,42:00,8,17.0,0.471,0,1.0,0.0,1,5.0,0.2,,,9.0,1.0,,,1.0,3.0,17,,
197410180INA,INA,game,True,Darnell Hillman,hillmda01,39:00,8,14.0,0.571,0,1.0,0.0,2,2.0,1.0,,,12.0,4.0,,,4.0,5.0,18,,
197410180INA,INA,game,True,Don Buse,busedo01,38:00,3,11.0,0.273,1,3.0,0.333,1,2.0,0.5,,,4.0,3.0,,,1.0,5.0,8,,
197410180INA,INA,game,True,Kevin Joyce,joyceke01,20:00,2,10.0,0.2,0,1.0,0.0,0,0.0,,,,3.0,2.0,,,1.0,5.0,4,,
197410180INA,INA,game,False,Bill Keller,kellebi01,42:00,5,21.0,0.238,2,7.0,0.286,0,0.0,,,,4.0,3.0,,,3.0,1.0,12,,
197410180INA,INA,game,False,Billy Knight,knighbi01,22:00,6,11.0,0.545,0,0.0,,2,2.0,1.0,,,8.0,3.0,,,1.0,1.0,14,,
197410180INA,INA,game,False,Len Elmore,elmorle01,16:00,3,6.0,0.5,0,0.0,,0,0.0,,,,3.0,0.0,,,1.0,2.0,6,,
197410180INA,INA,game,False,Wayne Pack,packwa01,16:00,2,6.0,0.333,1,2.0,0.5,0,0.0,,,,2.0,1.0,,,2.0,6.0,5,,
197410180INA,INA,game,False,Charles Edge,edgech01,6:00,0,1.0,0.0,0,0.0,,0,0.0,,,,1.0,0.0,,,1.0,0.0,0,,
197410180NYA,UTS,game,True,Ron Boone,boonero01,44:00,8,24.0,0.333,0,,,5,7.0,0.714,,,5.0,5.0,,,,2.0,21,,
197410180NYA,UTS,game,True,Gerald Govan,govange01,40:00,7,12.0,0.583,0,,,0,0.0,,,,14.0,1.0,,,,1.0,14,,
197410180NYA,UTS,game,True,Jim Eakins,eakinji01,37:00,4,8.0,0.5,0,,,6,9.0,0.667,,,10.0,3.0,,,,4.0,14,,
197410180NYA,UTS,game,True,Moses Malone,malonmo01,33:00,8,12.0,0.667,0,,,3,6.0,0.5,,,11.0,2.0,2.0,2.0,,2.0,19,,
197410180NYA,UTS,game,True,Al Smith,smithal01,32:00,2,9.0,0.222,1,,,0,0.0,,,,1.0,6.0,,,,3.0,5,,
197410180NYA,UTS,game,False,Bruce Seals,sealsbr01,23:00,3,9.0,0.333,0,,,0,0.0,,,,2.0,1.0,,,,3.0,6,,
197410180NYA,UTS,game,False,Clyde Dickey,dickecl01,20:00,3,7.0,0.429,0,,,0,0.0,,,,2.0,0.0,,,,1.0,6,,
197410180NYA,UTS,game,False,Randy Denton,dentora01,11:00,0,1.0,0.0,0,,,4,4.0,1.0,,,4.0,0.0,,,,0.0,4,,
197410180NYA,NYA,game,True,Julius Erving,ervinju01,42:00,13,26.0,0.5,0,,,1,1.0,1.0,,,10.0,7.0,,,,3.0,27,,
197410180NYA,NYA,game,True,Brian Taylor,taylobr01,41:00,7,13.0,0.538,0,,,1,3.0,0.333,,,8.0,4.0,,,,1.0,15,,
197410180NYA,NYA,game,True,Larry Kenon,kenonla01,40:00,8,20.0,0.4,0,,,1,2.0,0.5,,,12.0,2.0,,,,4.0,17,,
197410180NYA,NYA,game,True,Billy Paultz,paultbi01,39:00,7,15.0,0.467,0,,,3,4.0,0.75,,,6.0,2.0,,,,4.0,17,,
197410180NYA,NYA,game,True,Mike Gale,galemi01,23:00,1,4.0,0.25,0,,,0,0.0,,,,1.0,3.0,,,,3.0,2,,
197410180NYA,NYA,game,False,Bill Melchionni,melchbi01,25:00,7,9.0,0.778,0,,,1,1.0,1.0,,,0.0,11.0,,,,1.0,15,,
197410180NYA,NYA,game,False,Ed Manning,mannied01,9:00,2,5.0,0.4,0,,,2,2.0,1.0,,,2.0,0.0,,,,2.0,6,,
197410180NYA,NYA,game,False,Al Skinner,skinnal01,9:00,1,1.0,1.0,0,,,0,0.0,,,,1.0,0.0,,,,3.0,2,,
197410180NYA,NYA,game,False,Willie Sojourner,sojouwi01,7:00,1,1.0,1.0,0,,,0,0.0,,,,3.0,0.0,,,,3.0,2,,
197410180NYA,NYA,game,False,Billy Schaeffer,schaebi01,5:00,1,1.0,1.0,0,,,0,0.0,,,,0.0,0.0,,,,2.0,2,,
197410180SSL,MMS,game,True,Rick Mount,mountri01,37:00,7,18.0,0.389,1,3.0,0.333,2,4.0,0.5,,,2.0,,,,,3.0,17,,
197410180SSL,MMS,game,True,Mel Daniels,danieme01,37:00,6,19.0,0.316,0,0.0,,0,1.0,0.0,,,14.0,,,,,5.0,12,,
197410180SSL,MMS,game,True,Freddie Lewis,lewisfr02,35:00,13,22.0,0.591,0,0.0,,8,9.0,0.889,,,5.0,,,,,1.0,34,,
197410180SSL,MMS,game,True,Roger Brown,brownro01,25:00,1,7.0,0.143,0,1.0,0.0,2,2.0,1.0,,,2.0,,,,,2.0,4,,
197410180SSL,MMS,game,True,Julius Keye,keyeju01,23:00,0,5.0,0.0,0,0.0,,1,2.0,0.5,,,4.0,,,,,2.0,1,,
197410180SSL,MMS,game,False,Chuck Williams,willich02,36:00,4,7.0,0.571,1,1.0,1.0,0,0.0,,,,4.0,,,,,1.0,9,,
