Player Name,Player Reference,Game Reference,Team,Period,Starter,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Larry Kenon,kenonla01,197510240KEN,SAA,game,True,38:00,7,13,.538,0,0,,5,6,.833,,,9,2,,,1,4,19,
George Gervin,gervige01,197510240KEN,SAA,game,True,38:00,8,26,.308,0,0,,2,2,1.000,,,13,3,,,4,3,18,
James Silas,silasja01,197510240KEN,SAA,game,True,38:00,7,22,.318,0,0,,3,4,.750,,,5,4,,,4,2,17,
Billy Paultz,paultbi01,197510240KEN,SAA,game,True,36:00,4,8,.500,0,0,,0,0,,,,10,4,,,1,6,8,
George Karl,karlge01,197510240KEN,SAA,game,True,31:00,4,8,.500,0,0,,4,6,.667,,,0,2,,,1,2,12,
Mike Gale,galemi01,197510240KEN,SAA,game,False,27:00,3,6,.500,0,0,,2,4,.500,,,2,2,,,0,2,8,
Ken Smith,smithke02,197510240KEN,SAA,game,False,20:00,5,9,.556,0,0,,0,0,,,,4,1,,,2,1,10,
Coby Dietrick,dietrco01,197510240KEN,SAA,game,False,11:00,1,4,.250,0,0,,0,0,,,,2,2,,,0,6,2,
Bill Franklin,frankwi01,197510240KEN,SAA,game,False,1:00,0,0,,0,0,,0,0,,,,0,0,,,0,0,0,
Louie Dampier,dampilo01,197510240KEN,KEN,game,True,40:00,5,16,.313,1,1,1.000,0,2,.000,,,2,15,,,2,3,11,
Artis Gilmore,gilmoar01,197510240KEN,KEN,game,True,39:00,10,15,.667,0,0,,5,7,.714,,,21,0,,,2,3,25,
Wil Jones,joneswi02,197510240KEN,KEN,game,True,29:00,5,12,.417,0,0,,4,4,1.000,,,8,1,,,4,5,14,
Marv Roberts,roberma01,197510240KEN,KEN,game,True,26:00,5,7,.714,0,0,,2,2,1.000,,,2,1,,,0,6,12,
Ted McClain,mcclate01,197510240KEN,KEN,game,True,16:00,4,5,.800,0,0,,4,6,.667,,,5,1,,,4,0,12,
Bird Averitt,averibi01,197510240KEN,KEN,game,False,37:00,8,20,.400,0,0,,2,2,1.000,,,6,5,,,1,4,18,
Travis Grant,granttr01,197510240KEN,KEN,game,False,21:00,3,8,.375,0,0,,2,2,1.000,,,3,1,,,5,1,8,
Tom Owens,owensto01,197510240KEN,KEN,game,False,19:00,0,4,.000,0,0,,0,0,,,,7,2,,,0,3,0,
Ron Thomas,thomaro01,197510240KEN,KEN,game,False,10:00,0,0,,0,0,,0,0,,,,3,4,,,0,2,0,
Allen Murphy,murphal01,197510240KEN,KEN,game,False,3:00,0,2,.000,0,0,,0,0,,,,1,0,,,1,0,0,
Billy Knight,knighbi01,197510240VIR,INA,game,True,41:00,11,27,.407,0,0,,14,17,.824,,,17,3,,,,2,36,
Don Buse,busedo01,197510240VIR,INA,game,True,41:00,7,10,.700,1,2,.500,4,7,.571,,,0,4,,,,1,19,
Darnell Hillman,hillmda01,197510240VIR,INA,game,True,23:00,2,11,.182,0,0,,1,3,.333,,,4,1,,,,6,5,
Mike Flynn,flynnmi01,197510240VIR,INA,game,True,21:00,2,9,.222,0,2,.000,0,0,,,,7,1,,,,6,4,
Len Elmore,elmorle01,197510240VIR,INA,game,True,19:00,2,11,.182,0,0,,1,2,.500,,,12,0,,,,6,5,
Bill Keller,kellebi01,197510240VIR,INA,game,False,35:00,10,18,.556,2,3,.667,5,5,1.000,,,7,3,,,,1,27,
Dan Roundfield,roundda01,197510240VIR,INA,game,False,29:00,4,12,.333,0,0,,2,4,.500,,,10,0,,,,5,10,
Bob Netolicky,netolbo01,197510240VIR,INA,game,False,23:00,2,8,.250,0,0,,0,0,,,,3,0,,,,2,4,
Charles Jordan,jordach01,197510240VIR,INA,game,False,7:00,1,2,.500,0,0,,0,2,.000,,,3,0,,,,1,2,
Nate Barnett,barnena01,197510240VIR,INA,game,False,1:00,0,0,,0,0,,0,0,,,,0,0,,,,0,0,
Gerald Govan,govange01,197510240VIR,VIR,game,True,41:00,5,13,.385,0,0,,8,8,1.000,,,22,3,,,,3,18,
Willie Wise,wisewi01,197510240VIR,VIR,game,True,37:00,9,27,.333,0,0,,4,7,.571,,,6,1,,,,1,22,
Jan van Breda Kolff,vanbrja01,197510240VIR,VIR,game,True,37:00,5,11,.455,0,0,,8,10,.800,,,11,2,,,,3,18,
Ticky Burden,burdeti01,197510240VIR,VIR,game,True,27:00,5,17,.294,0,0,,5,6,.833,,,3,2,,,,3,15,
Dave Twardzik,twardda01,197510240VIR,VIR,game,True,24:00,1,2,.500,0,0,,2,3,.667,,,3,0,,,,2,4,
Fatty Taylor,taylofa01,197510240VIR,VIR,game,False,30:00,3,5,.600,0,1,.000,1,2,.500,,,5,5,,,,4,7,
Johnny Neumann,neumajo01,197510240VIR,VIR,game,False,21:00,7,12,.583,0,3,.000,1,2,.500,,,2,1,,,,4,15,
Mike Jackson,jacksmi01,197510240VIR,VIR,game,False,10:00,1,6,.167,0,0,,0,0,,,,7,0,,,,3,2,
Rick Darnell,darneri01,197510240VIR,VIR,game,False,8:00,0,0,,0,0,,0,0,,,,0,0,,,,0,0,
Mel Bennett,benneme01,197510240VIR,VIR,game,False,5:00,0,2,.000,0,0,,0,0,,,,0,0,,,,1,0,
Al Skinner,skinnal01,197510240SSL,NYA,game,True,38:00,7,15,.467,0,0,,5,5,1.000,2,3,5,6,5,1,5,3,19,
Julius Erving,ervinju01,197510240SSL,NYA,game,True,34:00,11,23,.478,0,0,,5,6,.833,6,6,12,5,3,1,1,0,27,
Rich Jones,jonesri01,197510240SSL,NYA,game,True,34:00,3,14,.214,0,2,.000,0,0,,4,7,11,2,1,0,1,2,6,
John Williamson,willijo01,197510240SSL,NYA,game,True,28:00,3,8,.375,0,0,,0,0,,1,1,2,1,1,0,1,5,6,
Kim Hughes,hugheki01,197510240SSL,NYA,game,True,12:00,2,4,.500,0,0,,1,2,.500,3,2,5,0,1,2,4,5,5,
Swen Nater,natersw01,197510240SSL,NYA,game,False,31:00,8,16,.500,0,0,,0,0,,5,10,15,0,1,1,5,1,16,
Brian Taylor,taylobr01,197510240SSL,NYA,game,False,27:00,6,11,.545,0,0,,4,4,1.000,2,0,2,4,0,0,2,2,16,
Tim Bassett,basseti01,197510240SSL,NYA,game,False,27:00,5,7,.714,0,0,,0,0,,6,5,11,1,0,1,1,3,10,
Billy Schaeffer,schaebi01,197510240SSL,NYA,game,False,3:00,1,4,.250,0,0,,0,0,,1,0,1,0,0,0,0,0,2,
Chuck Terry,terrych01,197510240SSL,NYA,game,False,3:00,1,4,.250,0,0,,0,0,,1,0,1,0,0,0,0,1,2,
Bill Melchionni,melchbi01,197510240SSL,NYA,game,False,3:00,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,
Freddie Lewis,lewisfr02,197510240SSL,SSL,game,True,41:00,7,12,.583,1,2,.500,2,2,1.000,0,1,1,7,0,1,2,3,17,
Don Chaney,chanedo01,197510240SSL,SSL,game,True,40:00,6,13,.462,0,0,,1,1,1.000,3,2,5,4,2,0,5,4,13,
Maurice Lucas,lucasma01,197510240SSL,SSL,game,True,38:00,5,17,.294,0,0,,6,6,1.000,6,9,15,2,0,1,4,3,16,
Marvin Barnes,barnema01,197510240SSL,SSL,game,True,37:00,11,20,.550,0,0,,1,1,1.000,2,8,10,2,1,2,3,4,23,
Gus Gerard,gerargu01,197510240SSL,SSL,game,True,24:00,2,10,.200,0,0,,0,2,.000,0,2,2,0,2,2,1,3,4,
Don Adams,adamsdo01,197510240SSL,SSL,game,False,33:00,3,10,.300,0,0,,4,6,.667,6,5,11,7,0,0,0,2,10,
Mike Barr,barrmi01,197510240SSL,SSL,game,False,10:00,2,3,.667,0,0,,0,0,,1,0,1,2,0,0,2,0,4,
Rudy Hackett,hackeru01,197510240SSL,SSL,game,False,9:00,2,3,.667,0,0,,1,2,.500,0,1,1,0,0,0,0,1,5,
Harry Rogers,rogerha01,197510240SSL,SSL,game,False,3:00,1,1,1.000,0,0,,0,0,,0,1,1,0,0,1,1,0,2,
Barry Parkhill,parkhba01,197510240SSL,SSL,game,False,3:00,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,
M.L. Carr,carrml01,197510240SSL,SSL,game,False,2:00,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,1,0,
David Thompson,thompda01,197510240SDS,DNA,game,True,42:00,13,22,.591,0,0,,2,3,.667,,,9,3,,,,4,28,
Chuck Williams,willich02,197510240SDS,DNA,game,True,42:00,2,8,.250,0,0,,4,4,1.000,,,5,2,,,,2,8,
Ralph Simpson,simpsra01,197510240SDS,DNA,game,True,41:00,11,20,.550,0,0,,8,12,.667,,,4,6,,,,1,30,
Dan Issel,isselda01,197510240SDS,DNA,game,True,35:00,5,17,.294,0,0,,11,12,.917,,,9,1,,,,4,21,
Bobby Jones,jonesbo01,197510240SDS,DNA,game,True,31:00,3,7,.429,0,0,,6,10,.600,,,8,2,,,,4,12,
Byron Beck,beckby01,197510240SDS,DNA,game,False,21:00,4,13,.308,0,0,,3,4,.750,,,6,1,,,,1,11,
Claude Terry,terrycl01,197510240SDS,DNA,game,False,18:00,5,9,.556,0,0,,0,0,,,,2,0,,,,5,10,
Roger Brown,brownro02,197510240SDS,DNA,game,False,8:00,0,2,.000,0,0,,0,0,,,,2,0,,,,0,0,
Jimmy Foster,fosteja01,197510240SDS,DNA,game,False,2:00,0,1,.000,0,0,,0,0,,,,0,0,,,,1,0,
Mark Olberding,olberma01,197510240SDS,SDS,game,True,41:00,10,18,.556,0,0,,1,1,1.000,,,4,1,,,,6,21,
Pat McFarland,mcfarpa01,197510240SDS,SDS,game,True,34:00,13,18,.722,1,1,1.000,2,3,.667,,,6,7,,,,2,29,
Caldwell Jones,jonesca01,197510240SDS,SDS,game,True,31:00,3,8,.375,0,0,,0,2,.000,,,9,2,,,,6,6,
Bob Warren,warrebo01,197510240SDS,SDS,game,True,18:00,4,7,.571,0,1,.000,6,6,1.000,,,4,4,,,,2,14,
Lee Davis,davisle01,197510240SDS,SDS,game,True,13:00,0,2,.000,0,0,,1,2,.500,,,3,0,,,,5,1,
