Game Reference,Team,Period,Starter,Player Name,Player Reference,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Reason
194611010TRH,NYK,game,,Leo Gottlieb,gottlle01,,6,,,,,,2,4.0,0.5,,,,,,,,2.0,14,,
194611010TRH,NYK,game,,Ossie Schectman,schecos01,,4,,,,,,3,5.0,0.6,,,,,,,,2.0,11,,
194611010TRH,NYK,game,,Stan Stutz,stutzst01,,2,,,,,,5,5.0,1.0,,,,,,,,1.0,9,,
194611010TRH,NYK,game,,Ralph Kaplowitz,kaplora01,,3,,,,,,1,1.0,1.0,,,,,,,,0.0,7,,
194611010TRH,NYK,game,,Jake Weber,weberja01,,1,,,,,,4,4.0,1.0,,,,,,,,5.0,6,,
194611010TRH,NYK,game,,Nat Militzok,militna01,,2,,,,,,1,1.0,1.0,,,,,,,,4.0,5,,
194611010TRH,NYK,game,,Dick Murphy,murphdi01,,2,,,,,,1,1.0,1.0,,,,,,,,1.0,5,,
194611010TRH,NYK,game,,Hank Rosenstein,rosenha01,,2,,,,,,1,2.0,0.5,,,,,,,,5.0,5,,
194611010TRH,NYK,game,,Tommy Byrnes,byrneto01,,1,,,,,,2,2.0,1.0,,,,,,,,2.0,4,,
194611010TRH,NYK,game,,Sonny Hertzberg,hertzso01,,1,,,,,,0,0.0,,,,,,,,,0.0,2,,
194611010TRH,NYK,game,,Bob Mullens,mullebo01,,0,,,,,,0,1.0,0.0,,,,,,,,1.0,0,,
194611010TRH,TRH,game,,Ed Sadowski,sadowed01,,8,,,,,,2,6.0,0.333,,,,,,,,6.0,18,,
194611010TRH,TRH,game,,George Nostrand,nostrge01,,7,,,,,,2,7.0,0.286,,,,,,,,3.0,16,,
194611010TRH,TRH,game,,Charlie Hoefer,hoefech01,,2,,,,,,4,4.0,1.0,,,,,,,,5.0,8,,
194611010TRH,TRH,game,,Dick Fitzgerald,fitzgdi01,,3,,,,,,0,3.0,0.0,,,,,,,,1.0,6,,
194611010TRH,TRH,game,,Mike McCarron,mccarmi01,,1,,,,,,4,5.0,0.8,,,,,,,,5.0,6,,
194611010TRH,TRH,game,,Ray Wertis,wertira01,,3,,,,,,0,0.0,,,,,,,,,3.0,6,,
194611010TRH,TRH,game,,Bob Fitzgerald,fitzgbo01,,1,,,,,,2,2.0,1.0,,,,,,,,1.0,4,,
194611010TRH,TRH,game,,Frank Fucarino,fucarfr01,,0,,,,,,1,1.0,1.0,,,,,,,,1.0,1,,
194611010TRH,TRH,game,,Harry Miller,milleha01,,0,,,,,,1,1.0,1.0,,,,,,,,0.0,1,,
194611010TRH,TRH,game,,Hank Biasatti,biasaha01,,0,,,,,,0,0.0,,,,,0.0,,,,0.0,0,,
194611010TRH,TRH,game,,Roy Hurley,hurlero01,,0,,,,,,0,0.0,,,,,,,,,0.0,0,,
194611020DTF,WSC,game,,Bob Feerick,feeribo01,,5,,,,,,4,,,,,,,,,,,14,,
194611020DTF,WSC,game,,Fred Scolari,scolafr01,,6,,,,,,2,,,,,,,,,,,14,,
194611020DTF,WSC,game,,Bones McKinney,mckinbo01,,3,,,,,,5,,,,,,,,,,,11,,
194611020DTF,WSC,game,,Johnny Norlander,norlajo01,,2,,,,,,1,,,,,,,,,,,5,,
194611020DTF,WSC,game,,John Mahnken,mahnkjo01,,2,,,,,,0,,,,,,,,,,,4,,
194611020DTF,WSC,game,,Ben Goldfaden,goldfbe01,,0,,,,,,1,,,,,,0.0,,,,,1,,
194611020DTF,WSC,game,,Irv Torgoff,torgoir01,,0,,,,,,1,,,,,,,,,,,1,,
194611020DTF,WSC,game,,Al Negratti,negraal01,,0,,,,,,0,,,,,,,,,,,0,,
194611020DTF,DTF,game,,Stan Miasek,miasest01,,3,,,,,,3,,,,,,,,,,,9,,
194611020DTF,DTF,game,,Grady Lewis,lewisgr01,,2,,,,,,2,,,,,,,,,,,6,,
