Player Name,Player Reference,Game Reference,Team,Period,Starter,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
John Logan,loganjo01,194811010INJ,STB,game,,,7,,,,,,4,5,.800,,,,,,,,4,18,
Easy Parham,parhaea01,194811010INJ,STB,game,,,8,,,,,,2,10,.200,,,,,,,,4,18,
Ariel Maughan,maughar01,194811010INJ,STB,game,,,8,,,,,,1,1,1.000,,,,,,,,5,17,
Red Rocha,rochare01,194811010INJ,STB,game,,,4,,,,,,3,4,.750,,,,,,,,3,11,
Belus Smawley,smawlbe01,194811010INJ,STB,game,,,3,,,,,,0,4,.000,,,,,,,,3,6,
Don Putman,putnado01,194811010INJ,STB,game,,,2,,,,,,0,0,,,,,,,,,0,4,
Lonnie Eggleston,egglelo01,194811010INJ,STB,game,,,1,,,,,,0,0,,,,,,,,,2,2,
Grady Lewis,lewisgr01,194811010INJ,STB,game,,,1,,,,,,0,0,,,,,,,,,4,2,
D.C. Wilcutt,wilcudc01,194811010INJ,STB,game,,,1,,,,,,0,0,,,,,,,,,0,2,
Don Martin,martido01,194811010INJ,STB,game,,,0,,,,,,0,0,,,,,,,,,1,0,
Buddy O'Grady,ogradbu01,194811010INJ,STB,game,,,0,,,,,,0,0,,,,,,,,,0,0,
George Glamack,glamage01,194811010INJ,INJ,game,,,8,,,,,,9,11,.818,,,,,,,,4,25,
Freddie Lewis,lewisfr01,194811010INJ,INJ,game,,,7,,,,,,2,3,.667,,,,,,,,1,16,
Bruce Hale,halebr01,194811010INJ,INJ,game,,,3,,,,,,8,8,1.000,,,,,,,,2,14,
Price Brookfield,brookpr01,194811010INJ,INJ,game,,,4,,,,,,0,0,,,,,,,,,2,8,
Fritz Nagy,nagyfr01,194811010INJ,INJ,game,,,4,,,,,,0,2,.000,,,,,,,,4,8,
Charlie Black,blackch01,194811010INJ,INJ,game,,,3,,,,,,1,3,.333,,,,,,,,4,7,
Marty Passaglia,passama01,194811010INJ,INJ,game,,,1,,,,,,0,0,,,,,,,,,1,2,
Hal Tidrick,tidriha01,194811010INJ,INJ,game,,,0,,,,,,2,2,1.000,,,,,,,,0,2,
Andy Kostecka,kostean01,194811010INJ,INJ,game,,,0,,,,,,1,2,.500,,,,,,,,0,1,
Dick Wehr,wehrdi01,194811010INJ,INJ,game,,,0,,,,,,1,1,1.000,,,,,,,,3,1,
Ray Lumpp,lumppra01,194811010INJ,INJ,game,,,0,,,,,,0,0,,,,,,,,,1,0,
Joe Fulks,fulksjo01,194811030WSC,PHW,game,,,9,25,.360,,,,6,8,.750,,,,0,,,,5,24,
Angelo Musi,musian01,194811030WSC,PHW,game,,,8,16,.500,,,,1,1,1.000,,,,0,,,,5,17,
Ed Sadowski,sadowed01,194811030WSC,PHW,game,,,5,14,.357,,,,3,6,.500,,,,0,,,,5,13,
Howie Dallmar,dallmho01,194811030WSC,PHW,game,,,2,7,.286,,,,1,3,.333,,,,1,,,,2,5,
Jerry Fleishman,fleisje01,194811030WSC,PHW,game,,,2,8,.250,,,,1,1,1.000,,,,2,,,,2,5,
Chink Crossin,crossch01,194811030WSC,PHW,game,,,1,5,.200,,,,0,0,,,,,0,,,,0,2,
Roy Pugh,pughro01,194811030WSC,PHW,game,,,1,3,.333,,,,0,2,.000,,,,1,,,,1,2,
Phil Farbman,farbmph01,194811030WSC,PHW,game,,,0,2,.000,,,,1,1,1.000,,,,0,,,,3,1,
George Senesky,senesge01,194811030WSC,PHW,game,,,0,3,.000,,,,1,3,.333,,,,2,,,,0,1,
Kleggie Hermsen,hermskl01,194811030WSC,WSC,game,,,6,19,.316,,,,5,9,.556,,,,0,,,,5,17,
Bones McKinney,mckinbo01,194811030WSC,WSC,game,,,7,19,.368,,,,3,6,.500,,,,0,,,,3,17,
Sonny Hertzberg,hertzso01,194811030WSC,WSC,game,,,4,9,.444,,,,3,11,.273,,,,0,,,,2,11,
Bob Feerick,feeribo01,194811030WSC,WSC,game,,,2,13,.154,,,,5,5,1.000,,,,3,,,,2,9,
Johnny Norlander,norlajo01,194811030WSC,WSC,game,,,3,11,.273,,,,3,3,1.000,,,,0,,,,3,9,
Fred Scolari,scolafr01,194811030WSC,WSC,game,,,3,16,.188,,,,1,2,.500,,,,2,,,,2,7,
Dick Schulz,schuldi01,194811030WSC,WSC,game,,,2,7,.286,,,,0,2,.000,,,,0,,,,0,4,
Dick O'Keefe,okeefdi01,194811030WSC,WSC,game,,,1,6,.167,,,,1,1,1.000,,,,0,,,,2,3,
Matt Zunic,zunicma01,194811030WSC,WSC,game,,,0,2,.000,,,,0,0,,,,,0,,,,3,0,
Irv Rothenberg,rotheir01,194811030FTW,NYK,game,,,5,11,.455,,,,7,9,.778,,,,2,,,,5,17,
Lee Knorek,knorele01,194811030FTW,NYK,game,,,4,12,.333,,,,5,5,1.000,,,,2,,,,5,13,
Butch van Breda Kolff,vanbrbu01,194811030FTW,NYK,game,,,5,12,.417,,,,3,6,.500,,,,4,,,,4,13,
Carl Braun,braunca01,194811030FTW,NYK,game,,,2,12,.167,,,,6,7,.857,,,,2,,,,0,10,
