Game Reference,Team,Period,Starter,Player Name,Player Reference,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Reason
196110190NYK,CHP,game,,Walt Bellamy,bellawa01,38:00,7,14.0,0.5,,,,15,18,0.833,,,17.0,,,,,4,29,,
196110190NYK,CHP,game,,Slick Leonard,leonasl01,,8,,,,,,6,11,0.545,,,,,,,,1,22,,
196110190NYK,CHP,game,,Vern Hatton,hattove01,,6,,,,,,0,0,,,,,,,,,2,12,,
196110190NYK,CHP,game,,Barney Cable,cableba01,,2,,,,,,5,6,0.833,,,,,,,,4,9,,
196110190NYK,CHP,game,,Ralph Davis,davisra01,,4,,,,,,1,1,1.0,,,,,,,,2,9,,
196110190NYK,CHP,game,,York Larese,laresyo01,,2,,,,,,3,5,0.6,,,,,,,,2,7,,
196110190NYK,CHP,game,,Horace Walker,walkeho01,,2,,,,,,2,4,0.5,,,,,,,,4,6,,
196110190NYK,CHP,game,,Andy Johnson,johnsan01,,0,,,,,,3,4,0.75,,,,,,,,4,3,,
196110190NYK,CHP,game,,Archie Dees,deesar01,,1,,,,,,0,0,,,,,,,,,1,2,,
196110190NYK,CHP,game,,Jack Turner,turneja02,,1,,,,,,0,0,,,,,,,,,1,2,,
196110190NYK,CHP,game,,Charlie Tyra,tyrach01,,1,,,,,,0,0,,,,,,,,,1,2,,
196110190NYK,CHP,game,,Howie Carl,carlho01,,0,,,,,,0,0,,,,,,,,,0,0,,
196110190NYK,NYK,game,,Johnny Green,greenjo01,,13,,,,,,1,5,0.2,,,15.0,,,,,4,27,,
196110190NYK,NYK,game,,Willie Naulls,naullwi01,,10,,,,,,5,9,0.556,,,13.0,,,,,6,25,,
196110190NYK,NYK,game,,Richie Guerin,gueriri01,,7,,,,,,7,9,0.778,,,,,,,,3,21,,
196110190NYK,NYK,game,,Phil Jordon,jordoph01,,8,,,,,,1,5,0.2,,,,,,,,5,17,,
196110190NYK,NYK,game,,Darrall Imhoff,imhofda01,,5,,,,,,1,2,0.5,,,,,,,,5,11,,
196110190NYK,NYK,game,,Dave Budd,buddda01,,3,,,,,,1,3,0.333,,,,,,,,2,7,,
196110190NYK,NYK,game,,Whitey Martin,martiwh01,,2,,,,,,0,1,0.0,,,,,,,,4,4,,
196110190NYK,NYK,game,,Sam Stith,stithsa01,,1,,,,,,1,1,1.0,,,,,,,,4,3,,
196110190NYK,NYK,game,,Ed Burton,burtoed01,,1,,,,,,0,0,,,,,,,,,0,2,,
196110190NYK,NYK,game,,Bill Smith,smithbi01,,1,,,,,,0,0,,,,,,,,,0,2,,
196110190NYK,NYK,game,,Cleveland Buckner,buckncl01,,0,,,,,,1,3,0.333,,,,,,,,2,1,,
196110190NYK,NYK,game,,George Blaney,blanege01,,0,,,,,,0,0,,,,,,,,,0,0,,
196110190LAL,PHW,game,,Wilt Chamberlain,chambwi01,48:00,21,44.0,0.477,,,,6,12,0.5,,,25.0,1.0,,,,1,48,,
196110190LAL,PHW,game,,Tom Meschery,meschto01,31:00,5,7.0,0.714,,,,3,5,0.6,,,7.0,3.0,,,,5,13,,
196110190LAL,PHW,game,,Tom Gola,golato01,,6,15.0,0.4,,,,2,3,0.667,,,6.0,6.0,,,,6,14,,
196110190LAL,PHW,game,,Paul Arizin,arizipa01,,5,20.0,0.25,,,,3,3,1.0,,,8.0,4.0,,,,5,13,,
196110190LAL,PHW,game,,Guy Rodgers,rodgegu01,,4,14.0,0.286,,,,5,7,0.714,,,1.0,7.0,,,,5,13,,
196110190LAL,PHW,game,,Al Attles,attleal01,,4,9.0,0.444,,,,4,5,0.8,,,7.0,4.0,,,,4,12,,
196110190LAL,PHW,game,,Ed Conlin,conlied01,,0,5.0,0.0,,,,0,0,,,,3.0,1.0,,,,3,0,,
196110190LAL,LAL,game,,Elgin Baylor,bayloel01,,13,30.0,0.433,,,,9,13,0.692,,,21.0,4.0,,,,2,35,,
