Player Name,Player Reference,Game Reference,Team,Period,Starter,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Moses Malone,malonmo01,198610310BOS,WSB,game,True,39:00,6,13,.462,0,0,,11,12,.917,7,3,10,2,1,3,3,1,23,
Terry Catledge,catlete01,198610310BOS,WSB,game,True,30:00,7,17,.412,0,0,,1,3,.333,3,4,7,2,1,0,2,4,15,
John Williams,willijo02,198610310BOS,WSB,game,True,29:00,2,11,.182,0,0,,5,6,.833,6,1,7,3,2,0,2,4,9,
Frank Johnson,johnsfr01,198610310BOS,WSB,game,True,26:00,4,8,.500,0,0,,3,5,.600,1,1,2,2,2,0,1,4,11,
Anthony Jones,jonesan01,198610310BOS,WSB,game,True,19:00,2,5,.400,0,0,,0,0,,0,0,0,3,2,0,2,4,4,
Jeff Malone,malonje01,198610310BOS,WSB,game,False,26:00,7,13,.538,0,0,,3,4,.750,0,0,0,2,1,0,0,1,17,
Darwin Cook,cookda01,198610310BOS,WSB,game,False,25:00,5,9,.556,0,1,.000,0,0,,1,2,3,3,0,0,5,3,10,
Dan Roundfield,roundda01,198610310BOS,WSB,game,False,23:00,2,5,.400,0,0,,3,4,.750,0,4,4,0,1,0,1,3,7,
Manute Bol,bolma01,198610310BOS,WSB,game,False,14:00,2,3,.667,0,0,,2,2,1.000,2,2,4,0,0,3,6,1,6,
Charles Jones,jonesch01,198610310BOS,WSB,game,False,6:00,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,
Jay Murphy,murphja01,198610310BOS,WSB,game,False,3:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,
Dennis Johnson,johnsde01,198610310BOS,BOS,game,True,44:00,11,14,.786,0,1,.000,4,4,1.000,0,3,3,7,2,0,7,2,26,
