Player Name,Player Reference,Game Reference,Team,Period,Starter,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Mark Jackson,jacksma01,199011020CHH,NYK,game,True,43:00,.558,.500,.000,.929,6.7,12.8,10.2,21.9,3.4,1.3,13.2,23.2,115,116,1.0
Charles Oakley,oaklech01,199011020CHH,NYK,game,True,43:00,.473,.333,.000,1.333,6.7,33.4,21.8,10.8,1.1,0.0,0.0,9.7,126,115,-0.8
Gerald Wilkins,wilkige01,199011020CHH,NYK,game,True,43:00,.675,.667,.067,.533,10.0,2.6,5.8,13.8,1.1,0.0,17.8,23.0,120,125,-2.9
Patrick Ewing,ewingpa01,199011020CHH,NYK,game,True,41:00,.652,.609,.000,.609,7.0,26.9,18.2,17.3,1.2,9.6,12.1,35.5,122,110,7.7
Kiki Vandeweghe,vandeki01,199011020CHH,NYK,game,True,38:00,.505,.458,.083,.167,0.0,0.0,0.0,10.2,1.3,0.0,7.2,16.0,107,126,-5.8
Maurice Cheeks,cheekma01,199011020CHH,NYK,game,False,21:00,.810,.667,.000,1.000,0.0,5.3,3.0,13.3,4.6,0.0,0.0,18.0,176,117,6.5
Brian Quinnett,quinnbr01,199011020CHH,NYK,game,False,14:00,.667,.667,.000,.000,0.0,0.0,0.0,9.4,0.0,0.0,25.0,12.5,102,128,-7.8
Jerrod Mustaf,mustaje01,199011020CHH,NYK,game,False,13:00,1.000,1.000,.000,.000,0.0,8.5,4.8,10.2,0.0,0.0,0.0,6.7,200,125,-1.0
Eddie Lee Wilkins,wilkied01,199011020CHH,NYK,game,False,9:00,.727,.667,.000,.333,15.9,12.3,13.9,32.5,0.0,0.0,22.5,21.6,130,124,2.5
Armen Gilliam,gilliar01,199011020CHH,CHH,game,True,37:00,.518,.500,.000,.250,11.9,27.1,18.5,8.3,1.3,1.7,4.3,25.5,115,120,-0.6
J.R. Reid,reidjr01,199011020CHH,CHH,game,True,36:00,.601,.500,.000,.429,9.2,11.9,10.4,0.0,1.3,1.8,15.3,22.2,113,122,-3.5
Johnny Newman,newmajo01,199011020CHH,CHH,game,True,31:00,.468,.400,.100,.400,3.6,13.9,8.0,8.1,1.6,0.0,25.4,20.7,81,123,-10.8
Muggsy Bogues,boguemu01,199011020CHH,CHH,game,True,30:00,.167,.167,.000,.000,7.4,9.5,8.3,37.4,1.6,0.0,14.3,9.5,100,123,-5.1
Rex Chapman,chapmre01,199011020CHH,CHH,game,True,29:00,.358,.300,.133,.267,7.6,4.9,6.5,4.4,1.7,0.0,5.6,25.0,87,124,-10.6
Dell Curry,curryde01,199011020CHH,CHH,game,False,24:00,.768,.769,.308,.231,4.6,0.0,2.6,28.2,0.0,0.0,12.3,27.7,137,128,10.5
Kenny Gattison,gattike01,199011020CHH,CHH,game,False,23:00,.510,.400,.000,.400,9.6,37.4,21.7,0.0,2.1,0.0,0.0,10.4,129,118,-3.0
Kendall Gill,gillke01,199011020CHH,CHH,game,False,23:00,.673,.636,.000,.182,0.0,18.7,8.1,56.1,0.0,0.0,14.4,24.6,132,125,8.1
Kelly Tripucka,tripuke01,199011020CHH,CHH,game,False,22:00,.799,.714,.143,.571,5.0,6.5,5.7,39.1,0.0,2.9,0.0,16.2,180,125,16.6
Dave Hoppen,hoppeda01,199011020CHH,CHH,game,False,10:00,1.064,1.000,.000,2.000,0.0,14.3,6.2,0.0,0.0,0.0,0.0,7.7,228,125,0.0
Johnny Dawkins,dawkijo01,199011020CHI,PHI,game,True,39:00,.799,.769,.077,.462,0.0,16.9,9.9,40.2,0.0,0.0,24.2,21.8,132,115,5.6
Rick Mahorn,mahorri01,199011020CHI,PHI,game,True,37:00,.825,.750,.000,1.000,10.8,15.3,13.4,3.4,1.3,4.4,14.8,15.1,151,110,8.0
Charles Barkley,barklch01,199011020CHI,PHI,game,True,36:00,.741,.714,.048,.429,18.5,13.1,15.3,25.6,0.0,0.0,7.4,30.9,151,117,13.8
Hersey Hawkins,hawkihe01,199011020CHI,PHI,game,True,33:00,.560,.385,.154,.692,0.0,11.4,6.7,15.0,2.8,0.0,19.1,26.2,109,111,-3.6
Mike Gminski,gminsmi01,199011020CHI,PHI,game,True,27:00,.333,.333,.000,.000,4.9,10.5,8.2,4.2,1.7,2.0,14.3,10.7,81,113,-2.9
Ron Anderson,anderro01,199011020CHI,PHI,game,False,20:00,.751,.700,.000,.300,6.7,9.4,8.3,0.0,4.7,0.0,15.0,27.5,131,108,6.6
Manute Bol,bolma01,199011020CHI,PHI,game,False,20:00,.000,.000,.000,.000,0.0,18.8,11.0,0.0,0.0,10.8,33.3,6.2,0,107,-2.4
Brian Oliver,olivebr01,199011020CHI,PHI,game,False,15:00,.000,.000,.000,.000,8.9,12.5,11.0,7.0,0.0,0.0,0.0,13.8,35,117,-16.6
Rickey Green,greenri01,199011020CHI,PHI,game,False,9:00,.000,.000,.000,.000,14.8,10.5,12.3,11.6,0.0,0.0,0.0,9.2,69,118,-8.7
Jayson Williams,willija01,199011020CHI,PHI,game,False,4:00,.521,.500,.000,1.000,66.7,0.0,27.6,0.0,0.0,0.0,25.8,40.0,101,121,-19.4
Michael Jordan,jordami01,199011020CHI,CHI,game,True,34:00,.649,.604,.125,.208,8.3,7.8,8.1,36.3,9.7,0.0,16.0,35.2,120,109,18.7
Horace Grant,grantho01,199011020CHI,CHI,game,True,33:00,.724,.692,.000,.385,5.7,8.1,6.7,8.6,1.4,0.0,0.0,17.7,156,126,5.4
Scottie Pippen,pippesc01,199011020CHI,CHI,game,True,33:00,.398,.333,.067,.200,2.9,16.2,8.4,18.3,1.4,3.7,5.8,20.1,100,122,-2.2
Bill Cartwright,cartwbi01,199011020CHI,CHI,game,True,20:00,.436,.333,.000,.333,9.4,13.3,11.0,0.0,0.0,0.0,12.7,15.1,96,128,-11.6
John Paxson,paxsojo01,199011020CHI,CHI,game,True,16:00,.500,.500,.500,.000,0.0,0.0,0.0,47.7,2.9,0.0,0.0,4.8,162,125,5.0
Stacey King,kingst01,199011020CHI,CHI,game,False,20:00,.193,.000,.000,.667,4.7,26.7,13.8,5.1,4.7,0.0,27.9,20.6,43,115,-15.6
Cliff Levingston,levincl01,199011020CHI,CHI,game,False,20:00,.405,.444,.000,.222,18.8,13.3,16.6,12.8,2.3,3.1,16.8,22.8,89,121,-3.7
B.J. Armstrong,armstbj01,199011020CHI,CHI,game,False,19:00,.571,.571,.000,.000,0.0,14.0,5.8,27.4,0.0,0.0,0.0,14.1,136,128,-1.3
Dennis Hopson,hopsode01,199011020CHI,CHI,game,False,16:00,.455,.444,.000,.222,23.5,8.3,17.2,0.0,2.9,3.8,0.0,23.7,114,121,3.2
Craig Hodges,hodgecr01,199011020CHI,CHI,game,False,15:00,.643,.643,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9,134,131,0.4
Will Perdue,perduwi01,199011020CHI,CHI,game,False,12:00,.333,.333,.000,.000,0.0,22.2,9.2,9.3,0.0,10.3,40.0,16.0,49,119,-14.6
Scott Williams,willisc01,199011020CHI,CHI,game,False,2:00,,,,,0.0,66.7,27.6,0.0,0.0,0.0,,0.0,0,115,-4.6
Jay Humphries,humphja01,199011020DET,MIL,game,True,35:00,.254,.143,.000,.286,3.3,14.1,8.6,14.2,0.0,0.0,20.2,12.3,73,126,-12.0
Alvin Robertson,roberal01,199011020DET,MIL,game,True,33:00,.551,.533,.000,.067,21.3,26.1,23.6,35.9,3.1,0.0,11.5,23.1,127,115,10.7
Fred Roberts,roberfr01,199011020DET,MIL,game,True,30:00,.637,.500,.000,.625,3.9,16.4,10.0,0.0,1.7,0.0,8.9,16.3,132,122,-0.3
Jack Sikma,sikmaja01,199011020DET,MIL,game,True,27:00,.506,.444,.000,.222,4.3,18.2,11.1,10.8,0.0,4.7,9.2,17.6,113,122,1.0
Frank Brickowski,brickfr01,199011020DET,MIL,game,True,17:00,.509,.500,.000,.333,0.0,0.0,0.0,9.0,3.1,0.0,12.7,20.2,100,125,-4.8
Ricky Pierce,piercri01,199011020DET,MIL,game,False,30:00,.735,.667,.222,.389,7.8,0.0,4.0,21.4,1.7,2.1,4.5,32.1,156,127,19.9
Brad Lohaus,lohaubr01,199011020DET,MIL,game,False,28:00,.636,.636,.545,.000,0.0,4.4,2.1,5.8,0.0,0.0,8.3,18.7,126,130,3.0
Greg Anderson,andergr01,199011020DET,MIL,game,False,15:00,.291,.333,.000,.333,31.2,16.4,24.0,0.0,0.0,4.2,22.5,25.8,70,123,-13.4
Jeff Grayer,grayeje01,199011020DET,MIL,game,False,12:00,.387,.333,.000,.667,0.0,0.0,0.0,11.1,0.0,0.0,20.5,17.7,77,131,-14.1
Danny Schayes,schayda01,199011020DET,MIL,game,False,12:00,.266,.000,.000,2.000,0.0,10.3,5.0,0.0,0.0,0.0,61.5,17.7,21,127,-27.5
Steve Henson,hensost01,199011020DET,MIL,game,False,1:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,132,-7.3
Isiah Thomas,thomais01,199011020DET,DET,game,True,39:00,.548,.417,.167,.667,3.2,15.0,9.2,21.8,1.3,0.0,24.4,22.2,102,112,-4.2
Bill Laimbeer,laimbbi01,199011020DET,DET,game,True,36:00,.660,.545,.182,.545,17.1,26.0,21.7,16.7,0.0,0.0,12.8,18.4,140,111,6.3
Joe Dumars,dumarjo01,199011020DET,DET,game,True,35:00,.635,.545,.000,.818,0.0,6.7,3.4,25.9,4.5,0.0,16.7,21.7,122,109,6.3
James Edwards,edwarja01,199011020DET,DET,game,True,32:00,.527,.429,.000,.500,7.7,3.7,5.6,4.8,0.0,2.0,5.5,23.9,122,118,-2.6
Mark Aguirre,aguirma01,199011020DET,DET,game,True,20:00,.600,.600,.200,.000,6.2,5.9,6.0,0.0,0.0,3.2,0.0,21.1,134,116,2.4
Dennis Rodman,rodmade01,199011020DET,DET,game,False,27:00,.595,.600,.000,.400,22.8,26.0,24.4,15.4,0.0,0.0,25.4,12.3,119,111,2.3
John Salley,sallejo01,199011020DET,DET,game,False,27:00,.519,.444,.000,.889,4.6,4.3,4.4,27.0,1.9,0.0,0.0,19.6,134,115,4.9
Vinnie Johnson,johnsvi01,199011020DET,DET,game,False,21:00,.500,.500,.091,.000,5.9,11.1,8.6,16.0,2.5,0.0,0.0,22.1,124,111,3.7
William Bedford,bedfowi01,199011020DET,DET,game,False,1:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,121,-5.5
Lance Blanks,blankla01,199011020DET,DET,game,False,1:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,121,-6.1
Scott Hastings,hastisc01,199011020DET,DET,game,False,1:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,121,-6.3
Chris Morris,morrich01,199011020IND,NJN,game,True,35:00,.372,.222,.222,.444,2.4,12.5,6.7,15.1,1.4,1.8,21.8,15.7,73,105,-4.6
Mookie Blaylock,blaylmo01,199011020IND,NJN,game,True,32:00,.180,.154,.000,.154,0.0,3.4,1.5,22.2,3.1,0.0,12.6,19.9,46,106,-11.7
Chris Dudley,dudlech02,199011020IND,NJN,game,True,29:00,.467,.571,.000,.857,11.4,11.3,11.4,14.2,1.7,2.1,0.0,13.3,108,104,1.8
Reggie Theus,theusre01,199011020IND,NJN,game,True,27:00,.370,.200,.000,.800,3.1,4.0,3.5,6.7,1.8,0.0,30.7,28.9,59,109,-14.2
Jack Haley,haleyja01,199011020IND,NJN,game,True,23:00,.619,.625,.000,.250,7.2,9.5,8.2,0.0,0.0,5.4,10.1,17.2,114,107,1.4
Derrick Coleman,colemde01,199011020IND,NJN,game,False,25:00,.396,.385,.000,.154,16.6,30.5,22.6,18.8,3.9,7.5,17.8,27.0,80,88,4.7
Sam Bowie,bowiesa01,199011020IND,NJN,game,False,18:00,.457,.429,.000,.571,9.2,30.3,18.3,0.0,0.0,3.5,0.0,19.5,105,98,0.0
Jud Buechler,buechju01,199011020IND,NJN,game,False,15:00,.400,.400,.000,.000,0.0,7.3,3.1,0.0,3.3,0.0,0.0,13.3,88,104,-4.4
Kurk Lee,leeku01,199011020IND,NJN,game,False,13:00,.200,.200,.200,.000,0.0,0.0,0.0,14.0,3.8,0.0,16.7,18.5,43,106,-12.2
Lester Conner,connele01,199011020IND,NJN,game,False,12:00,.615,.500,.000,.500,0.0,9.1,3.9,18.2,12.3,0.0,0.0,16.3,138,84,16.9
Derrick Gervin,gervide01,199011020IND,NJN,game,False,8:00,.518,.400,.000,.800,20.7,0.0,11.8,0.0,0.0,0.0,0.0,33.8,121,115,10.8
Tate George,georgta01,199011020IND,NJN,game,False,3:00,.000,.000,.000,.000,0.0,0.0,0.0,53.3,0.0,0.0,0.0,40.0,14,115,-24.4
Reggie Miller,millere01,199011020IND,IND,game,True,33:00,.777,.563,.375,1.750,0.0,15.0,8.6,19.9,1.5,0.0,17.5,20.9,144,83,9.2
Chuck Person,persoch01,199011020IND,IND,game,True,33:00,.200,.200,.200,.000,3.3,12.5,8.6,13.6,1.5,0.0,28.6,17.1,47,85,-10.4
Vern Fleming,flemive01,199011020IND,IND,game,True,32:00,.612,.615,.000,.154,6.8,2.6,4.4,58.7,1.5,1.7,0.0,17.5,150,89,15.0
Rik Smits,smitsri01,199011020IND,IND,game,True,31:00,.585,.529,.000,.471,7.0,2.7,4.6,0.0,0.0,3.6,4.6,27.9,127,90,3.9
LaSalle Thompson,thompla01,199011020IND,IND,game,True,31:00,.413,.417,.083,.250,21.1,37.4,30.4,11.4,1.6,1.8,18.4,21.2,89,71,1.5
Detlef Schrempf,schrede01,199011020IND,IND,game,False,28:00,.608,.500,.000,1.000,15.6,23.6,20.2,12.2,3.5,2.0,30.3,23.7,98,74,5.0
Mike Sanders,sandemi01,199011020IND,IND,game,False,16:00,.500,.500,.000,.000,20.5,20.7,20.6,10.3,0.0,0.0,0.0,10.1,137,83,2.4
Micheal Williams,willimi02,199011020IND,IND,game,False,16:00,.205,.000,.000,.500,6.8,5.2,5.9,8.6,3.1,3.5,29.1,17.3,50,82,-9.1
George McCloud,mccloge01,199011020IND,IND,game,False,8:00,.000,.000,.000,.000,0.0,0.0,0.0,17.1,6.1,0.0,25.0,20.1,15,80,-18.7
Randy Wittman,wittmra01,199011020IND,IND,game,False,6:00,.000,.000,.000,.000,0.0,0.0,0.0,22.9,0.0,0.0,0.0,6.7,55,94,-3.8
Greg Dreiling,dreilgr01,199011020IND,IND,game,False,4:00,.500,.500,.000,.000,0.0,20.7,11.8,0.0,0.0,0.0,0.0,20.1,113,80,-7.9
