Game Reference,Team,Period,Starter,Player Name,Player Reference,MP,TS%,eFG%,3PAr%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Reason
199411040LAC,POR,game,True,Clifford Robinson,robincl02,31:00,0.676,0.455,,1.091,6.9,12.6,9.9,16.1,1.5,4.2,15.6,23.9,136,97,8.2,
199411040LAC,POR,game,True,Rod Strickland,stricro02,29:00,0.459,0.367,,0.533,3.7,10.1,7.0,43.4,3.2,0.0,9.7,27.2,112,98,3.1,
199411040LAC,POR,game,True,Buck Williams,willibu01,28:00,0.434,0.5,,1.0,26.7,24.5,25.5,0.0,3.3,6.9,14.8,9.3,111,87,2.6,
199411040LAC,POR,game,True,Clyde Drexler,drexlcl01,27:00,0.686,0.6,,0.6,4.0,25.4,15.1,34.2,0.0,0.0,5.0,28.4,150,99,12.2,
199411040LAC,POR,game,True,Chris Dudley,dudlech02,22:00,0.342,0.286,,0.571,14.5,26.7,20.9,0.0,0.0,5.9,10.2,17.1,87,94,-9.3,
199411040LAC,POR,game,False,Mark Bryant,bryanma01,22:00,0.51,0.4,,0.4,0.0,13.4,7.0,7.1,4.2,2.9,25.4,13.8,88,92,-2.3,
199411040LAC,POR,game,False,James Robinson,robinja02,19:00,0.457,0.357,,0.571,11.2,10.3,10.8,42.2,0.0,0.0,31.3,25.8,90,103,-7.2,
199411040LAC,POR,game,False,James Edwards,edwarja01,18:00,0.515,0.333,,0.667,5.9,10.9,8.5,0.0,0.0,7.2,0.0,8.3,136,98,-1.1,
199411040LAC,POR,game,False,Tracy Murray,murratr01,17:00,0.854,0.917,,0.833,0.0,5.8,3.0,0.0,0.0,0.0,10.9,20.8,141,105,3.3,
199411040LAC,POR,game,False,Jerome Kersey,kerseje01,15:00,0.51,0.4,,0.4,0.0,13.1,6.8,22.4,3.1,0.0,14.5,17.6,109,96,-1.5,
199411040LAC,POR,game,False,Harvey Grant,grantha01,8:00,0.833,0.833,,0.0,0.0,0.0,0.0,52.2,0.0,0.0,0.0,14.4,185,107,14.7,
199411040LAC,POR,game,False,Aaron McKie,mckieaa01,4:00,0.258,0.0,,0.667,26.7,0.0,12.8,0.0,0.0,0.0,20.5,46.9,64,105,-36.9,
199411040LAC,LAC,game,True,Loy Vaught,vaughlo01,30:00,0.743,0.667,,0.444,6.5,10.7,8.5,6.8,1.6,2.4,8.5,15.8,143,119,4.7,
199411040LAC,LAC,game,True,Terry Dehere,deherte01,28:00,0.612,0.458,,0.667,0.0,3.8,1.8,42.1,1.7,0.0,20.5,28.1,109,123,3.2,
199411040LAC,LAC,game,True,Elmore Spencer,spencel01,28:00,0.403,0.364,,0.545,7.0,7.6,7.3,13.1,0.0,7.7,18.0,24.0,78,121,-5.0,
199411040LAC,LAC,game,True,Pooh Richardson,richapo01,27:00,0.75,0.75,,0.0,0.0,7.9,3.8,34.3,0.0,0.0,25.0,12.0,119,124,-3.7,
199411040LAC,LAC,game,True,Tony Massenburg,masseto01,26:00,0.509,0.455,,0.364,18.8,28.7,23.6,0.0,0.0,8.3,13.6,22.9,102,111,-0.2,
199411040LAC,LAC,game,False,Matt Fish,fishma01,20:00,0.683,0.667,,0.5,0.0,21.3,10.2,0.0,4.7,0.0,0.0,14.8,139,108,4.4,
199411040LAC,LAC,game,False,Lamond Murray,murrala01,15:00,0.489,0.5,,0.714,6.5,14.2,10.2,0.0,3.1,0.0,17.9,30.1,82,114,-5.2,
199411040LAC,LAC,game,False,Malik Sealy,sealyma01,14:00,1.136,,,,0.0,7.6,3.6,10.4,0.0,0.0,43.1,13.4,135,125,-1.3,
199411040LAC,LAC,game,False,Harold Ellis,ellisha01,13:00,0.167,0.167,,0.0,0.0,8.2,3.9,12.6,0.0,0.0,0.0,18.6,46,124,-17.1,
199411040LAC,LAC,game,False,Bo Outlaw,outlabo01,13:00,0.0,0.0,,0.286,7.5,16.4,11.8,0.0,3.6,5.5,11.3,27.6,8,110,-24.2,
199411040LAC,LAC,game,False,Eric Piatkowski,piatker01,13:00,0.254,0.143,,0.286,7.5,8.2,7.9,12.6,0.0,5.5,0.0,24.5,71,121,-10.9,
199411040LAC,LAC,game,False,Randy Woods,woodsra01,13:00,0.216,0.0,,3.0,0.0,8.2,3.9,11.2,3.6,0.0,0.0,7.2,64,116,-9.2,
199411040SAC,PHO,game,True,A.C. Green,greenac01,32:00,0.519,0.444,,0.889,18.8,19.6,19.1,6.5,1.6,0.0,0.0,16.4,127,108,6.0,
199411040SAC,PHO,game,True,Dan Majerle,majerda01,32:00,0.5,0.5,,0.0,0.0,3.3,1.6,6.5,1.6,0.0,23.1,17.0,77,117,-4.6,
199411040SAC,PHO,game,True,Danny Manning,mannida01,30:00,0.359,0.313,,0.5,6.7,3.5,5.1,0.0,1.7,2.1,20.4,34.2,64,115,-13.7,
199411040SAC,PHO,game,True,Kevin Johnson,johnske02,29:00,0.546,0.286,,1.0,6.9,7.2,7.0,32.2,0.0,0.0,37.3,23.2,85,118,-6.4,
199411040SAC,PHO,game,True,Joe Kleine,kleinjo01,25:00,0.4,0.4,,0.0,8.0,16.7,12.3,0.0,2.0,0.0,0.0,8.4,100,108,-3.0,
199411040SAC,PHO,game,False,Wayman Tisdale,tisdawa01,22:00,0.515,0.417,,0.667,4.5,33.2,18.6,0.0,0.0,0.0,0.0,29.5,115,104,3.0,
199411040SAC,PHO,game,False,Elliot Perry,perryel01,19:00,0.338,0.25,,0.25,5.3,0.0,2.7,66.8,2.7,0.0,31.1,14.2,87,116,1.5,
199411040SAC,PHO,game,False,Wesley Person,persowe01,19:00,0.4,0.4,,0.0,0.0,11.0,5.4,21.1,0.0,3.4,37.5,17.6,57,115,-6.4,
199411040SAC,PHO,game,False,Danny Ainge,aingeda01,16:00,0.581,0.5,,0.333,0.0,0.0,0.0,23.1,0.0,4.0,22.5,11.6,105,120,0.5,
199411040SAC,PHO,game,False,Danny Schayes,schayda01,10:00,0.556,0.4,,1.0,0.0,10.4,5.1,0.0,0.0,12.8,12.2,34.3,105,111,5.0,
199411040SAC,PHO,game,False,Antonio Lang,langan02,6:00,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,200,121,-1.8,
199411040SAC,SAC,game,True,Mitch Richmond,richmmi01,32:00,0.563,0.531,,0.25,0.0,9.4,4.8,14.3,1.6,0.0,0.0,22.7,143,97,7.0,
199411040SAC,SAC,game,True,Olden Polynice,polynol01,31:00,0.742,0.714,,0.571,13.5,19.4,16.5,4.5,1.6,0.0,18.6,14.2,132,93,2.9,
199411040SAC,SAC,game,True,Walt Williams,williwa02,30:00,0.504,0.5,,0.133,10.4,20.0,15.3,41.6,3.4,2.4,20.1,27.1,108,87,8.5,
199411040SAC,SAC,game,True,Spud Webb,webbsp01,18:00,0.625,0.625,,0.0,5.8,5.6,5.7,18.6,0.0,0.0,27.3,25.0,98,102,-2.3,
199411040SAC,SAC,game,True,Duane Causwell,causwdu01,14:00,0.174,0.0,,1.0,29.8,21.4,25.5,8.2,0.0,10.4,25.8,11.3,82,88,-7.6,
199411040SAC,SAC,game,False,Michael Smith,smithmi02,28:00,0.549,0.545,,0.364,11.2,21.4,16.4,10.8,3.6,0.0,23.9,24.5,96,88,-0.3,
199411040SAC,SAC,game,False,Randy Brown,brownra02,27:00,0.6,0.6,,0.0,3.9,3.7,3.8,17.0,3.7,0.0,0.0,15.1,148,95,7.1,
199411040SAC,SAC,game,False,Bobby Hurley,hurlebo01,23:00,0.511,0.389,,0.444,0.0,8.7,4.4,29.2,2.2,0.0,15.7,22.7,118,96,0.6,
199411040SAC,SAC,game,False,Brian Grant,grantbr01,18:00,0.518,0.4,,0.8,23.2,33.3,28.4,7.3,0.0,4.0,0.0,15.3,145,87,1.9,
199411040SAC,SAC,game,False,Henry Turner,turnehe02,8:00,0.102,0.0,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.9,34,104,-23.5,
199411040SAC,SAC,game,False,Trevor Wilson,wilsotr01,8:00,0.333,0.333,,0.0,13.0,0.0,6.4,0.0,0.0,9.1,0.0,15.3,102,99,-2.8,
199411040SAC,SAC,game,False,Alaa Abdelnaby,abdelal01,3:00,,,,,34.8,0.0,17.0,0.0,16.8,0.0,,0.0,208,68,4.2,
