Player Name,Player Reference,Game Reference,Team,Period,Starter,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Ausar Thompson,t,202402130LAL,DET,game,True,28:55,.731,.731,.154,.000,2.9,4.1,3.4,0.0,1.6,0.0,7.1,18.5,130,123,-0.1
Jaden Ivey,i,202402130LAL,DET,game,True,28:39,.422,.344,.375,.250,0.0,8.4,3.5,22.9,3.2,3.4,10.1,26.4,93,116,-3.1
Simone Fontecchio,f,202402130LAL,DET,game,True,25:41,.581,.667,.667,.333,3.3,14.0,7.7,19.0,0.0,0.0,0.0,10.2,133,125,0.8
Cade Cunningham,c,202402130LAL,DET,game,True,25:07,.358,.267,.133,.267,3.4,28.7,13.8,35.8,0.0,0.0,0.0,25.5,102,123,-3.2
Jalen Duren,d,202402130LAL,DET,game,True,23:18,.444,.444,.000,.000,14.5,20.6,17.0,0.0,2.0,0.0,10.0,16.4,98,119,-9.4
Evan Fournier,f,202402130LAL,DET,game,False,24:31,.604,.556,.556,.444,3.4,14.7,8.1,5.3,3.8,0.0,15.7,19.9,107,116,-0.9
James Wiseman,w,202402130LAL,DET,game,False,23:03,.676,.667,.000,.250,18.3,20.8,19.3,14.7,0.0,4.2,7.0,23.8,136,121,5.6
Shake Milton,m,202402130LAL,DET,game,False,18:55,.444,.444,.111,.000,8.9,25.4,15.7,29.1,0.0,0.0,10.0,20.2,104,123,-1.9
Marcus Sasser,s,202402130LAL,DET,game,False,17:45,.150,.150,.300,.000,4.7,13.5,8.4,32.0,2.6,0.0,16.7,25.9,54,119,-14.0
Troy Brown Jr.,b,202402130LAL,DET,game,False,17:17,.500,.500,.429,.000,4.9,20.8,11.5,15.1,0.0,0.0,0.0,15.5,119,124,-1.4
Mike Muscala,m,202402130LAL,DET,game,False,4:31,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,10.2,0.0,0.0,16.9,0,104,-13.8
Malachi Flynn,f,202402130LAL,DET,game,False,2:18,,,,,0.0,52.2,21.5,0.0,0.0,0.0,,0.0,0,119,-9.3
Tosan Evbuomwan,e,202402130LAL,DET,game,False,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Austin Reaves,r,202402130LAL,LAL,game,True,32:29,.621,.444,.556,.778,0.0,18.1,10.7,23.0,1.4,1.8,14.2,18.5,125,105,-0.9
D'Angelo Russell,r,202402130LAL,LAL,game,True,31:41,.556,.556,.500,.111,3.8,2.7,3.1,14.7,0.0,1.9,13.7,29.5,97,115,-6.4
LeBron James,j,202402130LAL,LAL,game,True,30:42,.746,.700,.400,.267,0.0,2.7,1.6,43.2,0.0,0.0,19.3,28.9,126,117,4.4
Rui Hachimura,h,202402130LAL,LAL,game,True,30:05,.638,.700,.200,.400,8.0,8.4,8.2,10.0,0.0,0.0,0.0,16.7,134,114,-2.3
Anthony Davis,d,202402130LAL,LAL,game,True,28:23,.663,.542,.250,.583,12.7,32.6,24.4,20.6,0.0,12.7,6.2,24.2,142,94,11.9
Spencer Dinwiddie,d,202402130LAL,LAL,game,False,31:17,.466,.417,.833,.167,0.0,5.4,3.2,26.9,3.0,0.0,38.3,14.3,86,109,-6.8
Taurean Prince,p,202402130LAL,LAL,game,False,22:33,.735,.800,.600,.200,5.3,14.9,11.0,5.8,2.0,2.7,0.0,10.3,144,105,4.2
Jaxson Hayes,h,202402130LAL,LAL,game,False,13:28,1.136,,,,0.0,43.8,25.7,8.3,3.4,4.5,53.2,6.0,125,88,3.8
Christian Wood,w,202402130LAL,LAL,game,False,13:21,.698,.643,.286,.286,0.0,25.2,14.8,0.0,3.5,4.5,0.0,25.3,134,96,6.4
Jalen Hood-Schifino,h,202402130LAL,LAL,game,False,2:18,.500,.500,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.2,93,118,-13.8
Maxwell Lewis,l,202402130LAL,LAL,game,False,2:18,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,118,-7.2
Colin Castleton,c,202402130LAL,LAL,game,False,1:25,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,116,-21.2
Rudy Gobert,g,202402130POR,MIN,game,True,37:27,.680,.700,.000,.400,17.5,28.1,22.6,4.3,0.0,2.2,7.8,14.7,143,112,-1.0
Anthony Edwards,e,202402130POR,MIN,game,True,34:18,.702,.667,.296,.185,0.0,13.7,6.6,16.9,2.9,2.4,6.4,39.3,132,111,13.2
Mike Conley,c,202402130POR,MIN,game,True,26:15,.444,.357,.714,.286,4.2,13.4,8.6,31.0,3.8,9.5,20.2,16.3,106,104,4.6
Jaden McDaniels,m,202402130POR,MIN,game,True,24:08,.000,.000,.429,.000,9.0,0.0,4.7,0.0,0.0,3.4,0.0,12.5,28,121,-17.2
Karl-Anthony Towns,t,202402130POR,MIN,game,True,19:13,.618,.357,.429,1.143,11.4,18.3,14.7,7.3,2.6,0.0,22.2,30.4,113,111,-5.2
Nickeil Alexander-Walker,a,202402130POR,MIN,game,False,25:57,1.210,1.214,.857,.143,0.0,13.5,6.5,13.3,0.0,3.2,21.2,15.7,164,116,12.2
Naz Reid,r,202402130POR,MIN,game,False,25:06,.563,.563,.375,.250,0.0,14.0,6.7,6.1,2.0,6.6,0.0,15.3,120,110,0.4
Kyle Anderson,a,202402130POR,MIN,game,False,22:03,.709,.333,.000,2.000,0.0,15.9,7.7,47.3,0.0,0.0,0.0,11.1,184,118,9.2
Monte Morris,m,202402130POR,MIN,game,False,11:33,.000,.000,.333,.000,0.0,10.1,4.9,21.3,4.3,0.0,0.0,11.2,46,110,-10.1
Luka Garza,g,202402130POR,MIN,game,False,3:30,.868,.750,1.000,1.000,31.2,0.0,16.1,0.0,0.0,0.0,0.0,35.6,186,121,13.5
Jordan McLaughlin,m,202402130POR,MIN,game,False,3:30,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,0,122,-27.2
Josh Minott,m,202402130POR,MIN,game,False,3:30,1.136,,,,0.0,0.0,0.0,0.0,14.1,0.0,53.2,23.2,106,91,2.6
Daishen Nix,n,202402130POR,MIN,game,False,3:30,.174,.000,1.000,1.000,0.0,0.0,0.0,35.2,0.0,0.0,25.8,48.0,44,123,-39.1
Jerami Grant,g,202402130POR,POR,game,True,34:42,.353,.353,.412,.000,3.4,0.0,1.6,17.2,1.4,0.0,15.0,24.3,77,129,-10.2
Anfernee Simons,s,202402130POR,POR,game,True,32:16,.482,.421,.526,.211,0.0,10.1,5.3,24.7,1.5,0.0,12.6,31.0,100,125,-2.7
Deandre Ayton,a,202402130POR,POR,game,True,31:57,.917,.917,.000,.000,7.3,47.8,28.3,6.7,0.0,0.0,0.0,15.8,185,117,12.3
Toumani Camara,c,202402130POR,POR,game,True,22:16,.888,.857,.286,.286,5.3,14.7,10.1,15.3,0.0,0.0,20.2,18.7,139,127,5.4
Matisse Thybulle,t,202402130POR,POR,game,True,18:44,.000,.000,.600,.000,6.2,5.8,6.0,6.6,2.6,0.0,16.7,13.5,24,124,-15.6
Scoot Henderson,h,202402130POR,POR,game,False,33:52,.625,.500,.222,.556,0.0,3.2,1.7,38.3,0.0,0.0,15.2,16.4,133,131,0.6
Dalano Banton,b,202402130POR,POR,game,False,26:01,.645,.563,.250,1.250,4.5,16.8,10.9,17.5,1.9,0.0,24.4,26.5,107,122,-0.5
Jabari Walker,w,202402130POR,POR,game,False,17:09,.400,.400,.000,.000,20.5,25.4,23.0,0.0,0.0,0.0,16.7,14.7,92,124,-12.1
Duop Reath,r,202402130POR,POR,game,False,12:33,.510,.500,.600,.400,28.0,0.0,13.5,0.0,3.9,7.5,0.0,19.7,127,118,2.1
Ibou Badji,b,202402130POR,POR,game,False,3:30,.568,,,,0.0,31.2,16.1,35.2,0.0,0.0,0.0,10.6,148,122,1.9
Ashton Hagans,h,202402130POR,POR,game,False,3:30,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,132,-7.5
Kris Murray,m,202402130POR,POR,game,False,3:30,,,,,0.0,31.2,16.1,0.0,0.0,0.0,,0.0,0,122,-4.6
De'Aaron Fox,f,202402130PHO,SAC,game,True,39:50,.565,.532,.387,.323,10.3,14.3,12.2,22.5,3.5,0.0,14.5,42.1,111,124,2.9
Domantas Sabonis,s,202402130PHO,SAC,game,True,38:58,.686,.636,.091,.364,23.6,26.4,24.9,46.6,1.2,6.8,3.8,27.6,159,122,21.2
Harrison Barnes,b,202402130PHO,SAC,game,True,37:05,.563,.563,.500,.000,2.8,12.3,7.3,0.0,0.0,0.0,0.0,8.7,125,132,-7.3
Keegan Murray,m,202402130PHO,SAC,game,True,33:31,.333,.333,.222,.000,0.0,17.0,8.0,3.2,1.4,2.7,0.0,10.9,83,126,-9.5
Kevin Huerter,h,202402130PHO,SAC,game,True,23:41,.833,.833,.500,.000,0.0,14.5,6.8,5.0,2.0,3.8,14.3,12.0,139,124,2.7
Malik Monk,m,202402130PHO,SAC,game,False,33:08,.619,.563,.313,.250,0.0,13.8,6.5,24.2,1.4,2.7,22.0,27.8,108,126,-1.8
Davion Mitchell,m,202402130PHO,SAC,game,False,17:17,.387,.500,1.000,.667,0.0,0.0,0.0,6.0,0.0,0.0,0.0,9.1,92,133,-10.1
Keon Ellis,e,202402130PHO,SAC,game,False,7:17,,,,,0.0,31.4,14.8,0.0,0.0,0.0,,0.0,0,129,-11.5
Alex Len,l,202402130PHO,SAC,game,False,7:06,,,,,14.4,32.2,22.8,0.0,6.6,0.0,,0.0,216,114,-1.0
Kessler Edwards,e,202402130PHO,SAC,game,False,2:07,,,,,0.0,54.0,25.5,0.0,0.0,0.0,,0.0,0,124,-20.4
Chris Duarte,d,202402130PHO,SAC,game,False,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Colby Jones,j,202402130PHO,SAC,game,False,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Trey Lyles,l,202402130PHO,SAC,game,False,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
JaVale McGee,m,202402130PHO,SAC,game,False,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Grayson Allen,a,202402130PHO,PHO,game,True,39:29,.839,.800,.500,.300,2.9,7.8,5.5,13.7,0.0,1.9,15.0,14.4,146,128,0.7
Devin Booker,b,202402130PHO,PHO,game,True,38:27,.550,.412,.118,.765,3.0,5.3,4.2,31.9,3.6,0.0,11.7,28.5,118,122,-0.6
Kevin Durant,d,202402130PHO,PHO,game,True,38:03,.713,.706,.294,.353,6.0,24.2,15.6,16.8,1.2,0.0,13.3,25.3,127,121,2.4
Jusuf Nurkić,n,202402130PHO,PHO,game,True,25:21,.580,.500,.000,.667,9.0,28.2,19.1,9.9,3.7,5.9,11.4,14.7,123,111,1.2
Bradley Beal,b,202402130PHO,PHO,game,True,4:39,1.250,1.250,.500,.000,0.0,22.0,11.6,0.0,0.0,0.0,0.0,18.3,250,125,20.2
Royce O'Neale,o,202402130PHO,PHO,game,False,29:43,.541,.571,.714,.429,0.0,13.7,7.3,20.6,6.3,2.5,0.0,11.9,127,112,6.3
Eric Gordon,g,202402130PHO,PHO,game,False,27:13,.628,.588,.529,.176,0.0,11.3,5.9,17.7,0.0,2.8,0.0,28.6,128,126,3.3
