Player,Pos,Age,Team,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,Player Reference,Season,League
Precious Achiuwa,C-PF,24,TOT,48,1020,.491,.554,.268,.520,.641,.537,.199,.220,103,101,73,95,82,92,78,56,-17.9,-32.0,achiupr01,2023-2024,NBA
Precious Achiuwa,C,24,TOR,25,437,.459,.528,.277,.497,.571,.512,.247,.276,96,97,75,91,73,88,97,70,-17.3,-26.6,achiupr01,2023-2024,NBA
Precious Achiuwa,PF,24,NYK,23,583,.526,.578,.250,.546,.773,.566,.145,.158,111,106,68,100,99,97,57,40,-0.6,-5.4,achiupr01,2023-2024,NBA
Bam Adebayo,C,26,MIA,45,1555,.510,.517,.091,.510,.784,.569,.418,.016,107,95,25,93,100,98,164,4,-50.8,-21.0,adebaba01,2023-2024,NBA
Ochai Agbaji,SG,23,TOT,54,1045,.416,.543,.318,.506,.739,.518,.086,.566,87,99,87,92,94,89,34,144,-22.6,-35.9,agbajoc01,2023-2024,NBA
Ochai Agbaji,SG,23,UTA,51,1003,.426,.551,.331,.520,.750,.531,.080,.570,89,101,90,95,96,91,32,145,-13.9,-26.4,agbajoc01,2023-2024,NBA
Ochai Agbaji,SG,23,TOR,3,42,.278,.444,.111,.306,.667,.336,.167,.500,58,81,30,56,85,58,66,127,-8.7,-9.5,agbajoc01,2023-2024,NBA
Santi Aldama,PF,23,MEM,44,1091,.429,.527,.344,.521,.597,.531,.154,.533,90,96,94,95,76,91,61,136,-21.7,-44.3,aldamsa01,2023-2024,NBA
Nickeil Alexander-Walker,SG,25,MIN,55,1268,.429,.532,.376,.552,.763,.568,.117,.657,90,97,102,101,97,97,46,168,2.9,-10.0,alexani01,2023-2024,NBA
Grayson Allen,SG,28,PHO,49,1612,.510,.553,.482,.658,.892,.690,.225,.616,107,101,131,120,114,118,88,157,91.2,98.0,allengr01,2023-2024,NBA
Jarrett Allen,C,25,CLE,48,1473,.646,.653,.000,.646,.744,.674,.369,.010,136,119,,118,95,116,145,3,93.2,101.0,allenja01,2023-2024,NBA
Jose Alvarado,PG,25,NOP,37,616,.418,.505,.357,.523,.684,.541,.173,.586,88,93,97,95,87,93,68,149,-11.1,-19.8,alvarjo01,2023-2024,NBA
Kyle Anderson,PF,30,MIN,55,1201,.464,.496,.219,.477,.700,.520,.360,.115,97,91,60,87,89,89,142,29,-39.7,-40.1,anderky01,2023-2024,NBA
Giannis Antetokounmpo,PF,29,MIL,54,1888,.616,.652,.255,.627,.653,.651,.581,.092,129,119,70,114,83,112,229,24,161.3,174.2,antetgi01,2023-2024,NBA
Thanasis Antetokounmpo,PF,31,MIL,23,106,.524,.550,.000,.524,,.524,.000,.048,110,101,,96,,90,,12,-1.0,-2.5,antetth01,2023-2024,NBA
Cole Anthony,PG,23,ORL,54,1241,.432,.488,.326,.488,.839,.549,.343,.345,91,89,89,89,107,94,135,88,-60.7,-38.9,anthoco01,2023-2024,NBA
OG Anunoby,SF,26,TOT,41,1400,.498,.606,.379,.588,.774,.609,.176,.475,105,111,103,107,99,105,69,121,38.1,27.0,anunoog01,2023-2024,NBA
OG Anunoby,SF,26,TOR,27,900,.489,.608,.374,.584,.717,.598,.143,.508,103,111,102,107,91,103,56,129,23.2,10.4,anunoog01,2023-2024,NBA
OG Anunoby,SF,26,NYK,14,500,.516,.602,.391,.596,.842,.630,.242,.408,108,110,106,109,107,108,95,104,14.9,16.6,anunoog01,2023-2024,NBA
Ryan Arcidiacono,PG,29,NYK,20,45,.000,,.000,.000,,.000,.000,1.000,,,,,,,,255,-6.6,-7.0,arcidry01,2023-2024,NBA
Deni Avdija,SF,23,WAS,54,1521,.521,.568,.405,.580,.740,.613,.335,.290,109,104,110,106,94,105,132,74,33.3,37.1,avdijde01,2023-2024,NBA
Deandre Ayton,C,25,POR,37,1172,.560,.560,,.560,.809,.577,.111,.000,118,103,,102,103,99,44,,10.4,-4.9,aytonde01,2023-2024,NBA
Udoka Azubuike,C,24,PHO,14,107,.727,.727,,.727,.273,.652,.500,.000,153,133,,133,35,112,197,,7.9,3.7,azubuud01,2023-2024,NBA
Ibou Badji,C,21,POR,17,199,.632,.632,,.632,.500,.620,.526,.000,133,116,,115,64,106,207,,3.2,1.7,badjiib01,2023-2024,NBA
Marvin Bagley III,C,24,TOT,37,743,.578,.592,.250,.583,.748,.620,.370,.042,121,108,68,106,95,106,146,11,20.2,25.4,baglema01,2023-2024,NBA
Marvin Bagley III,C,24,DET,26,478,.591,.606,.167,.594,.820,.638,.337,.033,124,111,45,108,105,109,133,8,16.6,22.9,baglema01,2023-2024,NBA
Marvin Bagley III,C,24,WAS,11,265,.556,.569,.333,.565,.652,.593,.426,.056,117,104,91,103,83,102,168,14,3.6,2.6,baglema01,2023-2024,NBA
Amari Bailey,PG,19,CHO,3,15,.286,.500,.000,.286,.500,.317,.286,.429,60,92,,52,64,54,112,109,-3.7,-4.2,baileam01,2023-2024,NBA
Patrick Baldwin Jr.,SF,21,WAS,17,123,.390,.316,.455,.512,.667,.540,.293,.537,82,58,124,93,85,93,115,137,-2.9,-3.9,baldwpa01,2023-2024,NBA
LaMelo Ball,PG,22,CHO,22,711,.433,.500,.355,.515,.865,.561,.246,.466,91,92,97,94,110,96,97,119,-27.6,-20.1,ballla01,2023-2024,NBA
Mo Bamba,C,25,PHI,32,338,.500,.520,.444,.559,.586,.571,.284,.265,105,95,121,102,75,98,112,67,2.2,-2.7,bambamo01,2023-2024,NBA
Paolo Banchero,PF,21,ORL,55,1923,.462,.492,.365,.505,.702,.549,.405,.238,97,90,99,92,90,94,160,61,-83.8,-76.3,banchpa01,2023-2024,NBA
