Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot.1,Off..1,PGA,And1,Blkd,Player Reference,Season,League
Precious Achiuwa,PF-C,24,TOT,52,1166,,,,45%,56%,0.4,-1.3,22,14,58,9,38,3,169,7,25,achiupr01,2023-2024,NBA
Precious Achiuwa,C,24,TOR,25,437,,,,3%,97%,-5.2,-2.3,12,8,23,5,18,1,105,2,13,achiupr01,2023-2024,NBA
Precious Achiuwa,PF,24,NYK,27,729,,,,70%,30%,3.7,-0.6,10,6,35,4,20,2,64,5,12,achiupr01,2023-2024,NBA
Bam Adebayo,C,26,MIA,48,1661,,,,,100%,0.3,-1.3,41,33,56,28,142,5,491,30,35,adebaba01,2023-2024,NBA
Ochai Agbaji,SG,23,TOT,58,1105,,18%,76%,6%,,-4.8,-3.2,17,10,42,8,16,2,134,6,24,agbajoc01,2023-2024,NBA
Ochai Agbaji,SG,23,UTA,51,1003,,12%,81%,6%,,-5.3,-3.9,14,8,37,6,12,2,119,5,21,agbajoc01,2023-2024,NBA
Ochai Agbaji,SG,23,TOR,7,102,5%,70%,23%,3%,,0.5,3.9,3,2,5,2,4,0,15,1,3,agbajoc01,2023-2024,NBA
Santi Aldama,PF,23,MEM,47,1171,,,7%,84%,9%,-6.0,0.8,29,12,41,4,29,3,247,11,23,aldamsa01,2023-2024,NBA
Nickeil Alexander-Walker,SG,25,MIN,59,1358,55%,43%,2%,,,7.9,1.0,36,11,64,4,14,23,377,3,20,alexani01,2023-2024,NBA
Grayson Allen,SG,28,PHO,52,1723,24%,73%,3%,,,4.6,4.2,43,13,54,5,46,14,385,12,20,allengr01,2023-2024,NBA
Jarrett Allen,C,25,CLE,53,1647,,,,,100%,7.9,6.3,49,20,65,19,86,14,333,17,49,allenja01,2023-2024,NBA
Jose Alvarado,PG,25,NOP,39,654,98%,2%,,,,12.0,9.9,16,8,16,1,15,10,173,1,14,alvarjo01,2023-2024,NBA
Kyle Anderson,PF,30,MIN,58,1276,,,71%,29%,,4.7,-4.8,46,18,39,2,46,5,558,6,14,anderky01,2023-2024,NBA
Giannis Antetokounmpo,PF,29,MIL,57,1989,,,,59%,41%,7.0,10.1,66,51,65,38,299,7,943,81,70,antetgi01,2023-2024,NBA
Thanasis Antetokounmpo,PF,31,MIL,25,122,,,11%,43%,46%,-7.2,-11.7,4,3,11,1,1,1,36,0,3,antetth01,2023-2024,NBA
Cole Anthony,PG,23,ORL,58,1337,100%,,,,,0.8,-0.4,52,32,69,6,73,10,438,13,23,anthoco01,2023-2024,NBA
OG Anunoby,SF,26,TOT,41,1400,,2%,77%,21%,1%,10.3,14.1,25,16,46,13,44,4,218,14,34,anunoog01,2023-2024,NBA
OG Anunoby,SF,26,TOR,27,900,,2%,80%,16%,2%,2.0,7.6,17,11,26,10,24,4,169,9,20,anunoog01,2023-2024,NBA
