Player,Pos,Age,Tm,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P.1,0-3.1,3-10.1,10-16.1,16-3P.1,3P.1,2P.2,3P.2,%FGA,#,%3PA,3P%,Att.,#.1,Player Reference,Season,League
Precious Achiuwa,PF-C,24,TOT,52,1166,.492,7.9,.778,.517,.211,.042,.008,.222,.560,.685,.320,.267,.333,.253,.587,.950,.160,51,.443,.286,0,0,achiupr01,2023-2024,NBA
Precious Achiuwa,C,24,TOR,25,437,.459,9.5,.724,.418,.247,.047,.012,.276,.528,.662,.357,.250,.500,.277,.662,1.000,.147,21,.362,.294,0,0,achiupr01,2023-2024,NBA
Precious Achiuwa,PF,24,NYK,27,729,.522,6.3,.828,.608,.177,.038,.005,.172,.584,.699,.273,.286,.000,.219,.533,.857,.172,30,.563,.278,0,0,achiupr01,2023-2024,NBA
Bam Adebayo,C,26,MIA,48,1661,.515,8.3,.983,.244,.353,.301,.085,.017,.523,.744,.492,.424,.361,.083,.589,1.000,.157,99,.000,,0,0,adebaba01,2023-2024,NBA
Ochai Agbaji,SG,23,TOT,58,1105,.428,15.7,.435,.216,.173,.035,.011,.565,.553,.705,.408,.400,.333,.331,.809,.981,.064,16,.456,.425,0,0,agbajoc01,2023-2024,NBA
Ochai Agbaji,SG,23,UTA,51,1003,.426,15.9,.430,.201,.181,.036,.012,.570,.551,.720,.422,.333,.333,.331,.831,.979,.068,15,.451,.406,0,0,agbajoc01,2023-2024,NBA
Ochai Agbaji,SG,23,TOR,7,102,.441,14.4,.471,.324,.118,.029,.000,.529,.563,.636,.250,1.000,,.333,.667,1.000,.029,1,.500,.556,0,0,agbajoc01,2023-2024,NBA
Santi Aldama,PF,23,MEM,47,1171,.429,15.6,.476,.207,.196,.051,.021,.524,.525,.674,.417,.409,.333,.342,.692,.948,.070,26,.316,.310,0,0,aldamsa01,2023-2024,NBA
Nickeil Alexander-Walker,SG,25,MIN,59,1358,.422,17.9,.364,.144,.142,.044,.033,.636,.519,.635,.431,.438,.500,.367,.529,.964,.017,6,.450,.427,2,0,alexani01,2023-2024,NBA
Grayson Allen,SG,28,PHO,52,1723,.508,17.4,.377,.212,.144,.018,.002,.623,.545,.649,.422,.375,.000,.486,.593,.888,.027,9,.293,.543,0,0,allengr01,2023-2024,NBA
Jarrett Allen,C,25,CLE,53,1647,.640,4.2,.991,.563,.323,.087,.018,.009,.646,.731,.560,.489,.300,.000,.798,,.245,112,.200,.000,0,0,allenja01,2023-2024,NBA
Jose Alvarado,PG,25,NOP,39,654,.414,17.3,.422,.156,.181,.080,.004,.578,.490,.649,.419,.316,1.000,.358,.531,.898,.000,0,.241,.515,1,0,alvarjo01,2023-2024,NBA
Kyle Anderson,PF,30,MIN,58,1276,.473,8.9,.885,.223,.470,.162,.030,.115,.508,.606,.475,.438,.667,.206,.496,1.000,.020,6,.618,.286,1,0,anderky01,2023-2024,NBA
Giannis Antetokounmpo,PF,29,MIL,57,1989,.616,6.9,.908,.515,.248,.066,.078,.092,.651,.824,.460,.357,.361,.276,.511,.556,.193,195,.010,.000,1,0,antetgi01,2023-2024,NBA
Thanasis Antetokounmpo,PF,31,MIL,25,122,.500,3.9,.958,.792,.125,.000,.042,.042,.522,.579,.333,,.000,.000,.750,,.208,3,1.000,.000,0,0,antetth01,2023-2024,NBA
Cole Anthony,PG,23,ORL,58,1337,.433,14.5,.659,.157,.244,.170,.088,.341,.485,.632,.504,.415,.306,.333,.277,.873,.013,7,.185,.286,0,0,anthoco01,2023-2024,NBA
OG Anunoby,SF,26,TOT,41,1400,.498,14.2,.525,.308,.117,.065,.036,.475,.606,.735,.393,.387,.588,.379,.704,.953,.142,60,.467,.453,0,0,anunoog01,2023-2024,NBA
OG Anunoby,SF,26,TOR,27,900,.489,15.2,.492,.265,.131,.056,.040,.508,.608,.753,.405,.389,.615,.374,.729,.951,.128,36,.405,.439,0,0,anunoog01,2023-2024,NBA
OG Anunoby,SF,26,NYK,14,500,.516,12.2,.592,.395,.089,.083,.025,.408,.602,.710,.357,.385,.500,.391,.661,.960,.172,24,.625,.475,0,0,anunoog01,2023-2024,NBA
Ryan Arcidiacono,PG,29,NYK,20,45,.000,26.3,.000,.000,.000,.000,.000,1.000,,,,,,.000,,,.000,0,.000,,0,0,arcidry01,2023-2024,NBA
Deni Avdija,SF,23,WAS,55,1548,.513,10.8,.711,.335,.306,.043,.028,.289,.557,.724,.455,.087,.400,.404,.584,.905,.061,31,.308,.500,3,0,avdijde01,2023-2024,NBA
Deandre Ayton,C,25,POR,40,1263,.570,8.0,1.000,.282,.348,.237,.133,.000,.570,.725,.531,.418,.613,,.743,,.118,47,,,0,0,aytonde01,2023-2024,NBA
Udoka Azubuike,C,24,PHO,14,107,.727,2.4,1.000,.727,.273,.000,.000,.000,.727,.813,.500,,,,.563,,.545,10,,,0,0,azubuud01,2023-2024,NBA
Ibou Badji,C,21,POR,17,199,.632,2.9,1.000,.684,.211,.105,.000,.000,.632,.769,.250,.500,,,.417,,.474,7,,,0,0,badjiib01,2023-2024,NBA
Marvin Bagley III,C,24,TOT,41,847,.573,4.9,.952,.555,.288,.091,.018,.048,.589,.721,.442,.367,.000,.250,.632,1.000,.191,57,.250,.000,0,0,baglema01,2023-2024,NBA
Marvin Bagley III,C,24,DET,26,478,.591,4.9,.967,.552,.276,.105,.033,.033,.606,.710,.540,.421,.000,.167,.660,1.000,.204,34,.167,.000,0,0,baglema01,2023-2024,NBA
Marvin Bagley III,C,24,WAS,15,369,.550,4.9,.933,.557,.302,.074,.000,.067,.568,.735,.333,.273,,.300,.595,1.000,.174,23,.300,.000,0,0,baglema01,2023-2024,NBA
Amari Bailey,PG,19,CHO,3,15,.286,18.9,.571,.143,.000,.143,.286,.429,.500,1.000,,.000,.500,.000,.500,,.143,1,.000,,0,0,baileam01,2023-2024,NBA
Patrick Baldwin Jr.,SF,21,WAS,20,152,.383,16.5,.426,.277,.085,.021,.043,.574,.350,.462,.250,.000,.000,.407,.857,1.000,.043,2,.222,.333,0,0,baldwpa01,2023-2024,NBA
LaMelo Ball,PG,22,CHO,22,711,.433,15.4,.534,.191,.265,.054,.024,.466,.500,.654,.455,.348,.100,.355,.159,.586,.002,0,.157,.484,0,0,ballla01,2023-2024,NBA
Mo Bamba,C,25,PHI,36,389,.475,9.3,.729,.525,.153,.008,.042,.271,.488,.565,.278,1.000,.200,.438,.643,1.000,.161,18,.094,.000,0,0,bambamo01,2023-2024,NBA
Paolo Banchero,PF,21,ORL,57,1986,.456,12.4,.763,.215,.245,.193,.110,.237,.484,.700,.417,.385,.387,.364,.359,.724,.054,50,.067,.188,0,0,banchpa01,2023-2024,NBA
Desmond Bane,SG,25,MEM,37,1277,.474,15.8,.540,.223,.167,.062,.089,.460,.551,.716,.397,.558,.419,.384,.406,.618,.007,5,.156,.440,2,0,banede01,2023-2024,NBA
Dalano Banton,PG,24,TOT,30,273,.394,11.1,.681,.362,.255,.021,.043,.319,.484,.588,.417,.000,.250,.200,.323,1.000,.053,5,.333,.200,0,0,bantoda01,2023-2024,NBA
Dalano Banton,PG,24,BOS,24,171,.373,11.3,.686,.275,.353,.020,.039,.314,.486,.643,.444,.000,.000,.125,.412,1.000,.078,4,.313,.200,0,0,bantoda01,2023-2024,NBA
Dalano Banton,PG,24,POR,6,102,.419,11.0,.674,.465,.140,.023,.047,.326,.483,.550,.333,.000,.500,.286,.214,1.000,.023,1,.357,.200,0,0,bantoda01,2023-2024,NBA
Dominick Barlow,PF,20,SAS,23,307,.476,7.6,.917,.405,.238,.226,.048,.083,.481,.500,.500,.474,.250,.429,.784,1.000,.071,5,.857,.500,0,0,barlodo01,2023-2024,NBA
Harrison Barnes,PF,31,SAC,58,1704,.484,16.4,.448,.171,.207,.050,.020,.552,.587,.663,.558,.480,.500,.401,.614,.964,.036,15,.437,.421,0,0,barneha02,2023-2024,NBA
Scottie Barnes,SG,22,TOR,59,2079,.474,12.3,.689,.272,.268,.079,.070,.311,.534,.732,.426,.297,.446,.340,.462,.909,.084,73,.148,.372,1,0,barnesc01,2023-2024,NBA
RJ Barrett,SG,23,TOT,48,1502,.480,10.8,.698,.347,.261,.065,.024,.302,.532,.675,.411,.304,.412,.360,.612,.987,.047,30,.369,.430,0,0,barrerj01,2023-2024,NBA
RJ Barrett,SG,23,NYK,26,766,.423,12.2,.665,.278,.255,.093,.039,.335,.469,.620,.374,.306,.400,.331,.537,1.000,.034,10,.377,.388,0,0,barrerj01,2023-2024,NBA
RJ Barrett,SG,23,TOR,22,736,.550,9.1,.738,.431,.269,.031,.006,.263,.602,.717,.453,.300,.500,.405,.676,.971,.063,20,.357,.500,0,0,barrerj01,2023-2024,NBA
Charles Bassey,C,23,SAS,19,205,.725,5.0,.975,.650,.100,.200,.025,.025,.744,.846,.750,.500,.000,.000,.793,,.250,10,.000,,0,0,bassech01,2023-2024,NBA
Emoni Bates,SF,20,CLE,10,76,.240,23.1,.200,.080,.040,.000,.080,.800,.200,.000,.000,,.500,.250,.000,1.000,.000,0,.100,.500,0,0,batesem01,2023-2024,NBA
Keita Bates-Diop,SF,28,TOT,44,630,.434,12.5,.572,.333,.176,.063,.000,.428,.527,.623,.357,.500,,.309,.625,.952,.094,14,.632,.326,0,0,bateske01,2023-2024,NBA
Keita Bates-Diop,SF,28,PHO,39,597,.427,12.4,.573,.340,.173,.060,.000,.427,.512,.608,.346,.444,,.313,.614,.950,.100,14,.656,.333,0,0,bateske01,2023-2024,NBA
Keita Bates-Diop,SF,28,BRK,5,33,.556,14.5,.556,.222,.222,.111,.000,.444,.800,1.000,.500,1.000,,.250,.750,1.000,.000,0,.250,.000,0,0,bateske01,2023-2024,NBA
Nicolas Batum,PF,35,TOT,38,902,.507,19.2,.271,.194,.035,.028,.014,.729,.667,.679,.800,.500,.500,.448,.615,1.000,.021,3,.448,.532,0,0,batumni01,2023-2024,NBA
Nicolas Batum,PF,35,LAC,3,54,.375,22.0,.125,.000,.125,.000,.000,.875,1.000,,1.000,,,.286,1.000,1.000,.125,1,.571,.500,0,0,batumni01,2023-2024,NBA
Nicolas Batum,PF,35,PHI,35,848,.515,19.0,.279,.206,.029,.029,.015,.721,.658,.679,.750,.500,.500,.459,.600,1.000,.015,2,.439,.535,0,0,batumni01,2023-2024,NBA
Darius Bazley,PF,23,PHI,3,10,.000,0.8,1.000,1.000,.000,.000,.000,.000,.000,.000,,,,,,,1.000,0,,,0,0,bazleda01,2023-2024,NBA
Bradley Beal,SG,30,PHO,30,979,.495,13.5,.688,.218,.211,.130,.130,.313,.556,.713,.473,.500,.482,.363,.442,.878,.039,14,.296,.375,0,0,bealbr01,2023-2024,NBA
Malik Beasley,SG,27,MIL,57,1685,.471,20.7,.255,.072,.104,.044,.036,.745,.531,.722,.500,.455,.333,.450,.632,.946,.008,3,.383,.524,0,0,beaslma01,2023-2024,NBA
MarJon Beauchamp,SF,23,MIL,42,580,.487,14.8,.539,.289,.118,.046,.086,.461,.561,.636,.500,.429,.462,.400,.587,.964,.105,12,.400,.429,0,0,beaucma01,2023-2024,NBA
Jules Bernard,SG,24,WAS,6,28,.250,18.6,.333,.250,.000,.083,.000,.667,.500,.667,,.000,,.125,.000,1.000,.000,0,.250,.000,0,0,bernaju01,2023-2024,NBA
Dāvis Bertāns,PF,31,TOT,20,149,.423,24.8,.038,.019,.000,.019,.000,.962,.000,.000,,.000,,.440,,.955,.000,0,.360,.389,0,0,bertada01,2023-2024,NBA
