Game Reference,Series
194704160PHW,Finals
194704170PHW,Finals
194704190CHS,Finals
194704200CHS,Finals
194704220PHW,Finals
194704020WSC,Semifinals
194704030WSC,Semifinals
194704080CHS,Semifinals
194704100WSC,Semifinals
194704120CHS,Semifinals
194704130CHS,Semifinals
194704120PHW,Semifinals
194704140NYK,Semifinals
194704020CLR,Quarterfinals
194704050NYK,Quarterfinals
194704090NYK,Quarterfinals
194704020PHW,Quarterfinals
194704050STB,Quarterfinals
194704060STB,Quarterfinals
194804100PHW,Finals
194804130PHW,Finals
194804150BLB,Finals
194804170BLB,Finals
194804200PHW,Finals
194804210BLB,Finals
194804070CHS,Semifinals
194804080BLB,Semifinals
194803230STB,Semifinals
194803250STB,Semifinals
194803270PHW,Semifinals
194803300PHW,Semifinals
194804010STB,Semifinals
194804030PHW,Semifinals
194804060STB,Semifinals
194803270BLB,Quarterfinals
194803280NYK,Quarterfinals
194804010BLB,Quarterfinals
194803280BOS,Quarterfinals
194803310BOS,Quarterfinals
194804020BOS,Quarterfinals
194904040MNL,Finals
194904060MNL,Finals
194904080WSC,Finals
194904090WSC,Finals
194904110WSC,Finals
194904130MNL,Finals
194903290WSC,Eastern Division Finals
194903310NYK,Eastern Division Finals
194904020WSC,Eastern Division Finals
194903270ROC,Western Division Finals
194903290MNL,Western Division Finals
194903230BLB,Eastern Division Semifinals
194903240NYK,Eastern Division Semifinals
194903260NYK,Eastern Division Semifinals
194903230PHW,Eastern Division Semifinals
194903240WSC,Eastern Division Semifinals
194903230MNL,Western Division Semifinals
194903240CHS,Western Division Semifinals
194903220ROC,Western Division Semifinals
194903230STB,Western Division Semifinals
195004080SYR,Finals
195004090SYR,Finals
195004140MNL,Finals
195004160MNL,Finals
195004200SYR,Finals
195004230MNL,Finals
195004050MNL,Semifinals
195004060AND,Semifinals
195003270MNL,Central Division Finals
195003280FTW,Central Division Finals
195003260SYR,Eastern Division Finals
195003300NYK,Eastern Division Finals
195004020SYR,Eastern Division Finals
195003280INO,Western Division Finals
195003300AND,Western Division Finals
195004010INO,Western Division Finals
195003230ROC,Central Division Semifinals
195003240FTW,Central Division Semifinals
195003220MNL,Central Division Semifinals
195003250CHS,Central Division Semifinals
195003210WSC,Eastern Division Semifinals
195003220NYK,Eastern Division Semifinals
195003220SYR,Eastern Division Semifinals
195003230PHW,Eastern Division Semifinals
195003210AND,Western Division Semifinals
195003230TRI,Western Division Semifinals
195003240AND,Western Division Semifinals
195003210INO,Western Division Semifinals
195003230SHE,Western Division Semifinals
195003250INO,Western Division Semifinals
195104070ROC,Finals
195104080ROC,Finals
195104110NYK,Finals
195104130NYK,Finals
195104150ROC,Finals
195104180NYK,Finals
195104210ROC,Finals
195103280NYK,Eastern Division Finals
195103290SYR,Eastern Division Finals
195103310NYK,Eastern Division Finals
195104010SYR,Eastern Division Finals
195104040NYK,Eastern Division Finals
195103290MNL,Western Division Finals
195103310MNL,Western Division Finals
195104010ROC,Western Division Finals
195104030ROC,Western Division Finals
195103200BOS,Eastern Division Semifinals
195103220NYK,Eastern Division Semifinals
195103200PHW,Eastern Division Semifinals
195103220SYR,Eastern Division Semifinals
195103210MNL,Western Division Semifinals
195103230INO,Western Division Semifinals
195103250MNL,Western Division Semifinals
195103200ROC,Western Division Semifinals
195103220FTW,Western Division Semifinals
195103240ROC,Western Division Semifinals
195204120MNL,Finals
195204130MNL,Finals
195204160NYK,Finals
195204180NYK,Finals
195204200MNL,Finals
195204230NYK,Finals
195204250MNL,Finals
195204020SYR,Eastern Division Finals
195204030SYR,Eastern Division Finals
195204050NYK,Eastern Division Finals
195204080NYK,Eastern Division Finals
195203290ROC,Western Division Finals
195203300ROC,Western Division Finals
195204050MNL,Western Division Finals
195204060MNL,Western Division Finals
195203190BOS,Eastern Division Semifinals
195203230NYK,Eastern Division Semifinals
195203260BOS,Eastern Division Semifinals
195203200SYR,Eastern Division Semifinals
195203220PHW,Eastern Division Semifinals
195203230SYR,Eastern Division Semifinals
195203230MNL,Western Division Semifinals
195203250INO,Western Division Semifinals
195203180ROC,Western Division Semifinals
195203200FTW,Western Division Semifinals
195304040MNL,Finals
195304050MNL,Finals
195304070NYK,Finals
195304080NYK,Finals
195304100NYK,Finals
195303250NYK,Eastern Division Finals
195303260BOS,Eastern Division Finals
195303280NYK,Eastern Division Finals
195303290BOS,Eastern Division Finals
195303260MNL,Western Division Finals
195303280MNL,Western Division Finals
195303300FTW,Western Division Finals
195304010FTW,Western Division Finals
195304020MNL,Western Division Finals
195303190SYR,Eastern Division Semifinals
195303210BOS,Eastern Division Semifinals
195303170NYK,Eastern Division Semifinals
195303200BLB,Eastern Division Semifinals
195303200ROC,Western Division Semifinals
195303220FTW,Western Division Semifinals
195303240ROC,Western Division Semifinals
195303220MNL,Western Division Semifinals
195303230INO,Western Division Semifinals
195403310MNL,Finals
195404030MNL,Finals
195404040SYR,Finals
195404080SYR,Finals
195404100SYR,Finals
195404110MNL,Finals
195404120MNL,Finals
195403250SYR,Eastern Division Finals
195403270BOS,Eastern Division Finals
195403240MNL,Western Division Finals
195403270ROC,Western Division Finals
195403280MNL,Western Division Finals
195503310SYR,Finals
195504020SYR,Finals
195504030FTW,Finals
195504050FTW,Finals
195504070FTW,Finals
195504090SYR,Finals
195504100SYR,Finals
195503220SYR,Eastern Division Finals
195503240SYR,Eastern Division Finals
195503260BOS,Eastern Division Finals
195503270BOS,Eastern Division Finals
