Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,PER GAME MP,PER GAME  PTS,PER GAME TRB,PER GAME AST,PER GAME STL,PER GAME BLK,Player Reference,League,Season
Ibou Badji,202312260POR,21,1,17,199,12,19,0,0,5,10,19,48,13,2,20,14,40,29,.632,,.500,11.7,1.7,2.8,0.8,0.1,1.2,badjiib01,NBA,2023-2024
Amari Bailey,202311120NYK,19,1,3,15,2,7,0,3,1,2,2,2,1,0,0,1,0,5,.286,.000,.500,5.0,1.7,0.7,0.3,0.0,0.0,baileam01,NBA,2023-2024
Emoni Bates,202310280CLE,20,1,10,76,6,25,5,20,1,2,1,10,6,1,2,1,5,18,.240,.250,.500,7.6,1.8,1.0,0.6,0.1,0.2,batesem01,NBA,2023-2024
Jules Bernard,202312080BRK,24,1,6,28,3,12,1,8,0,0,2,5,5,1,1,2,4,7,.250,.125,,4.7,1.2,0.8,0.8,0.2,0.2,bernaju01,NBA,2023-2024
Onuralp Bitim,202311040DEN,24,1,2,6,0,2,0,1,0,0,0,0,0,0,0,0,0,0,.000,.000,,3.0,0.0,0.0,0.0,0.0,0.0,bitimon01,NBA,2023-2024
Anthony Black,202310250ORL,20,1,53,980,95,203,27,73,44,67,29,120,82,28,18,48,100,261,.468,.370,.657,18.5,4.9,2.3,1.5,0.5,0.3,blackan01,NBA,2023-2024
Leaky Black,202311080CHO,24,1,22,218,17,39,7,15,9,14,8,38,18,5,6,5,15,50,.436,.467,.643,9.9,2.3,1.7,0.8,0.2,0.3,blackle01,NBA,2023-2024
Kobe Brown,202310250LAC,24,1,32,279,23,62,12,39,1,2,10,44,17,6,3,7,40,59,.371,.308,.500,8.7,1.8,1.4,0.5,0.2,0.1,brownko01,NBA,2023-2024
Kobe Bufkin,202310290MIL,20,1,6,35,4,14,2,9,1,2,2,7,4,1,1,2,2,11,.286,.222,.500,5.8,1.8,1.2,0.7,0.2,0.2,bufkiko01,NBA,2023-2024
Toumani Camara,202310250LAC,23,1,55,1296,142,330,40,134,55,76,101,261,56,54,25,65,135,379,.430,.299,.724,23.6,6.9,4.7,1.0,1.0,0.5,camarto01,NBA,2023-2024
D.J. Carton,202402220TOR,23,1,1,4,1,1,0,0,1,1,0,1,0,0,0,0,2,3,1.000,,1.000,4.0,3.0,1.0,0.0,0.0,0.0,cartodj01,NBA,2023-2024
Colin Castleton,202311040ORL,23,1,7,36,7,10,0,0,4,4,4,9,3,0,0,1,7,18,.700,,1.000,5.1,2.6,1.3,0.4,0.0,0.0,castlco01,NBA,2023-2024
Malcolm Cazalon,202311050DET,22,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3.0,0.0,0.0,0.0,0.0,0.0,cazalma01,NBA,2023-2024
Sidy Cissoko,202311200SAS,19,1,5,32,1,6,0,4,4,4,0,6,0,3,0,1,2,6,.167,.000,1.000,6.4,1.2,1.2,0.0,0.6,0.0,cissosi01,NBA,2023-2024
Noah Clowney,202311250BRK,19,1,7,69,11,18,1,4,6,6,6,13,6,0,1,3,5,29,.611,.250,1.000,9.9,4.1,1.9,0.9,0.0,0.1,clownno01,NBA,2023-2024
Bilal Coulibaly,202310250IND,19,1,56,1494,165,373,55,154,75,110,49,224,97,48,42,80,119,460,.442,.357,.682,26.7,8.2,4.0,1.7,0.9,0.8,coulibi01,NBA,2023-2024
Ricky Council IV,202401020PHI,22,1,17,156,30,63,4,16,36,48,11,33,6,2,0,2,8,100,.476,.250,.750,9.2,5.9,1.9,0.4,0.1,0.0,councri01,NBA,2023-2024
Dexter Dennis,202312010DAL,24,1,4,30,10,19,1,8,1,3,1,9,4,0,1,3,1,22,.526,.125,.333,7.5,5.5,2.3,1.0,0.0,0.3,dennide01,NBA,2023-2024
Gradey Dick,202310250TOR,20,1,37,581,82,187,42,110,23,25,17,67,42,19,0,22,48,229,.439,.382,.920,15.7,6.2,1.8,1.1,0.5,0.0,dickgr01,NBA,2023-2024
Tosan Evbuomwan,202402020MEM,22,1,6,90,7,18,3,9,0,0,8,16,6,1,1,1,6,17,.389,.333,,15.0,2.8,2.7,1.0,0.2,0.2,evbuoto01,NBA,2023-2024
Adam Flagler,202402230OKC,24,1,1,6,0,3,0,3,0,0,0,0,1,0,0,0,0,0,.000,.000,,6.0,0.0,0.0,1.0,0.0,0.0,flaglad01,NBA,2023-2024
Jordan Ford,202310250UTA,25,1,6,22,4,7,2,3,2,2,0,2,2,0,0,1,0,12,.571,.667,1.000,3.7,2.0,0.3,0.3,0.0,0.0,fordjo01,NBA,2023-2024
Javon Freeman-Liberty,202401170TOR,24,1,2,4,1,3,0,0,0,0,1,1,0,0,0,0,0,2,.333,,,2.0,1.0,0.5,0.0,0.0,0.0,freemja01,NBA,2023-2024
Alex Fudge,202311040ORL,20,1,4,14,1,6,0,2,2,2,2,2,0,0,0,1,1,4,.167,.000,1.000,3.5,1.0,0.5,0.0,0.0,0.0,fudgeal01,NBA,2023-2024
Kaiser Gates,202310300NOP,27,1,1,7,0,4,0,2,0,0,0,1,0,0,0,0,0,0,.000,.000,,7.0,0.0,1.0,0.0,0.0,0.0,gateska01,NBA,2023-2024
Keyonte George,202310250UTA,20,1,52,1308,196,503,97,282,117,143,14,147,226,26,5,107,60,606,.390,.344,.818,25.2,11.7,2.8,4.3,0.5,0.1,georgke01,NBA,2023-2024
Collin Gillespie,202310240DEN,24,1,19,161,23,45,11,24,5,8,1,12,16,10,0,10,18,62,.511,.458,.625,8.5,3.3,0.6,0.8,0.5,0.0,gilleco01,NBA,2023-2024
Mouhamadou Gueye,202402120TOR,25,1,1,6,1,3,0,0,0,0,2,3,0,0,2,0,1,2,.333,,,6.0,2.0,3.0,0.0,0.0,2.0,gueyemo01,NBA,2023-2024
Mouhamed Gueye,202310290MIL,21,1,2,4,0,1,0,1,0,0,0,0,0,1,0,0,1,0,.000,.000,,2.0,0.0,0.0,0.0,0.5,0.0,gueyemo02,NBA,2023-2024
Jordan Hawkins,202310250MEM,21,1,51,1024,160,409,100,269,64,75,27,134,63,17,5,37,66,484,.391,.372,.853,20.1,9.5,2.6,1.2,0.3,0.1,hawkijo01,NBA,2023-2024
Scoot Henderson,202310250LAC,19,1,43,1160,190,506,52,168,121,148,38,127,202,24,10,127,129,553,.375,.310,.818,27.0,12.9,3.0,4.7,0.6,0.2,hendesc01,NBA,2023-2024
Taylor Hendricks,202310250UTA,20,1,19,302,38,92,17,56,7,9,21,61,9,11,10,15,27,100,.413,.304,.778,15.9,5.3,3.2,0.5,0.6,0.5,hendrita01,NBA,2023-2024
D'Moi Hodge,202311040ORL,25,1,7,41,5,15,3,12,1,2,0,0,5,1,1,1,4,14,.333,.250,.500,5.9,2.0,0.0,0.7,0.1,0.1,hodgedm01,NBA,2023-2024
Chet Holmgren,202310250CHI,21,1,57,1713,368,677,100,248,138,179,90,437,154,39,151,96,146,974,.544,.403,.771,30.1,17.1,7.7,2.7,0.7,2.6,holmgch01,NBA,2023-2024
Jalen Hood-Schifino,202311270PHI,20,1,19,103,10,41,2,13,11,18,2,12,8,3,2,9,13,33,.244,.154,.611,5.4,1.7,0.6,0.4,0.2,0.1,hoodsja01,NBA,2023-2024
Jett Howard,202310250ORL,20,1,13,49,8,22,5,17,2,4,1,5,3,0,1,2,3,23,.364,.294,.500,3.8,1.8,0.4,0.2,0.0,0.1,howarje01,NBA,2023-2024
Matthew Hurt,202401290MEM,23,1,4,61,6,18,2,10,3,3,5,8,3,0,1,0,3,17,.333,.200,1.000,15.3,4.3,2.0,0.8,0.0,0.3,hurtma01,NBA,2023-2024
Andre Jackson Jr.,202310290MIL,22,1,46,498,46,87,15,40,8,11,36,93,43,14,4,21,82,115,.529,.375,.727,10.8,2.5,2.0,0.9,0.3,0.1,jacksan01,NBA,2023-2024
GG Jackson II,202310300MEM,19,1,25,494,96,222,43,113,42,62,24,88,19,12,16,22,31,277,.432,.381,.677,19.8,11.1,3.5,0.8,0.5,0.6,jacksgg01,NBA,2023-2024
Trayce Jackson-Davis,202310270SAC,23,1,43,556,119,174,0,0,44,75,72,174,41,13,36,28,68,282,.684,,.587,12.9,6.6,4.0,1.0,0.3,0.8,jackstr02,NBA,2023-2024
Jaime Jaquez Jr.,202310250MIA,22,1,51,1509,258,521,46,145,102,125,64,201,130,56,11,85,119,664,.495,.317,.816,29.6,13.0,3.9,2.5,1.1,0.2,jaqueja01,NBA,2023-2024
Trey Jemison,202401240WAS,24,1,9,141,17,36,0,0,6,7,15,31,7,4,10,9,23,40,.472,,.857,15.7,4.4,3.4,0.8,0.4,1.1,jemistr01,NBA,2023-2024
Keyontae Johnson,202310290OKC,23,1,8,64,4,14,1,3,0,0,3,9,4,0,0,4,5,9,.286,.333,,8.0,1.1,1.1,0.5,0.0,0.0,johnske08,NBA,2023-2024
Colby Jones,202310250UTA,21,1,17,121,17,46,1,13,2,5,10,25,10,4,1,5,16,37,.370,.077,.400,7.1,2.2,1.5,0.6,0.2,0.1,jonesco02,NBA,2023-2024
Maxwell Lewis,202310240DEN,21,1,20,70,3,12,1,3,0,0,1,3,3,2,0,5,3,7,.250,.333,,3.5,0.4,0.2,0.2,0.1,0.0,lewisma05,NBA,2023-2024
E.J. Liddell,202310280NOP,23,1,8,23,1,6,0,5,2,2,0,5,1,2,2,2,2,4,.167,.000,1.000,2.9,0.5,0.6,0.1,0.3,0.3,liddeej01,NBA,2023-2024
Dereck Lively II,202310250SAS,19,1,39,983,157,214,0,2,34,62,109,296,49,27,56,42,115,348,.734,.000,.548,25.2,8.9,7.6,1.3,0.7,1.4,livelde01,NBA,2023-2024
Chris Livingston,202311010TOR,20,1,15,62,7,14,1,1,2,2,2,14,4,2,0,3,7,17,.500,1.000,1.000,4.1,1.1,0.9,0.3,0.1,0.0,livinch01,NBA,2023-2024
Seth Lundy,202312150TOR,23,1,9,52,4,17,3,13,3,4,1,7,0,0,0,1,6,14,.235,.231,.750,5.8,1.6,0.8,0.0,0.0,0.0,lundyse01,NBA,2023-2024
Nathan Mensah,202312150CHO,25,1,25,307,12,28,0,0,9,12,29,65,9,6,14,14,64,33,.429,,.750,12.3,1.3,2.6,0.4,0.2,0.6,mensana01,NBA,2023-2024
Vasilije Micić,202310270CLE,30,1,36,494,60,144,17,64,20,27,4,36,112,11,3,39,33,157,.417,.266,.741,13.7,4.4,1.0,3.1,0.3,0.1,micicva01,NBA,2023-2024
Brandon Miller,202310250CHO,21,1,51,1616,315,717,118,312,94,113,43,205,121,48,28,92,134,842,.439,.378,.832,31.7,16.5,4.0,2.4,0.9,0.5,millebr02,NBA,2023-2024
Jordan Miller,202310250LAC,24,1,5,21,4,6,1,1,2,2,2,4,0,0,0,1,2,11,.667,1.000,1.000,4.2,2.2,0.8,0.0,0.0,0.0,millejo02,NBA,2023-2024
Leonard Miller,202310280MIN,20,1,7,26,7,11,1,3,0,0,1,10,3,1,1,1,3,15,.636,.333,,3.7,2.1,1.4,0.4,0.1,0.1,millele01,NBA,2023-2024
Dariq Whitehead,202311250BRK,19,1,2,24,1,5,0,3,1,2,0,4,3,0,1,0,0,3,.200,.000,.500,12.0,1.5,2.0,1.5,0.0,0.5,whiteda01,NBA,2023-2024
Taze Moore,202401210LAL,25,1,3,10,3,5,0,2,0,0,0,0,1,1,0,1,2,6,.600,.000,,3.3,2.0,0.0,0.3,0.3,0.0,mooreta02,NBA,2023-2024
Kris Murray,202310250LAC,23,1,36,514,54,137,19,67,12,22,31,84,29,28,7,21,35,139,.394,.284,.545,14.3,3.9,2.3,0.8,0.8,0.2,murrakr01,NBA,2023-2024
Pete Nance,202401200ATL,23,1,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,.000,,,2.0,0.0,0.0,0.0,0.0,0.0,nancepe01,NBA,2023-2024
Markquis Nowell,202311150TOR,24,1,1,4,0,1,0,0,2,2,2,2,2,1,0,0,0,2,.000,,1.000,4.0,2.0,2.0,2.0,1.0,0.0,nowelma01,NBA,2023-2024
Drew Peterson,202312230LAC,24,1,1,3,1,1,1,1,0,0,0,0,1,0,0,0,1,3,1.000,1.000,,3.0,3.0,0.0,1.0,0.0,0.0,peterdr01,NBA,2023-2024
Filip Petrušev,202310290PHI,23,1,3,10,1,2,0,0,1,2,0,1,0,0,0,0,1,3,.500,,.500,3.3,1.0,0.3,0.0,0.0,0.0,petrufi01,NBA,2023-2024
Julian Phillips,202310250CHI,20,1,32,218,22,50,6,24,6,11,6,21,9,1,6,7,32,56,.440,.250,.545,6.8,1.8,0.7,0.3,0.0,0.2,phillju01,NBA,2023-2024
Jalen Pickett,202310240DEN,24,1,19,103,12,29,7,21,3,4,1,11,13,3,0,6,9,34,.414,.333,.750,5.4,1.8,0.6,0.7,0.2,0.0,pickeja02,NBA,2023-2024
Brandin Podziemski,202310300NOP,20,1,50,1332,196,429,63,169,38,61,77,293,194,41,8,64,90,493,.457,.373,.623,26.6,9.9,5.9,3.9,0.8,0.2,podzibr01,NBA,2023-2024
Craig Porter Jr.,202310280CLE,23,1,34,478,86,170,7,21,32,46,15,80,92,17,12,33,30,211,.506,.333,.696,14.1,6.2,2.4,2.7,0.5,0.4,portecr01,NBA,2023-2024
Olivier-Maxence Prosper,202311030DEN,21,1,31,256,25,71,8,33,23,34,18,61,19,4,3,5,17,81,.352,.242,.676,8.3,2.6,2.0,0.6,0.1,0.1,prospol01,NBA,2023-2024
Duop Reath,202311120LAL,27,1,42,722,137,291,56,149,42,57,61,159,46,21,22,31,103,372,.471,.376,.737,17.2,8.9,3.8,1.1,0.5,0.5,reathdu01,NBA,2023-2024
Rayan Rupert,202310250LAC,19,1,16,119,15,43,7,17,5,8,7,21,11,3,0,6,7,42,.349,.412,.625,7.4,2.6,1.3,0.7,0.2,0.0,ruperra01,NBA,2023-2024
Jermaine Samuels,202310250ORL,25,1,11,53,8,11,0,2,2,2,2,11,2,1,1,0,4,18,.727,.000,1.000,4.8,1.6,1.0,0.2,0.1,0.1,samueje01,NBA,2023-2024
Adama Sanogo,202312280CHI,21,1,3,11,3,3,0,0,2,3,2,6,0,0,0,1,0,8,1.000,,.667,3.7,2.7,2.0,0.0,0.0,0.0,sanogad01,NBA,2023-2024
Gui Santos,202311160GSW,21,1,14,118,17,34,6,15,14,15,12,34,7,3,2,4,16,54,.500,.400,.933,8.4,3.9,2.4,0.5,0.2,0.1,santogu01,NBA,2023-2024
Marcus Sasser,202310250MIA,23,1,50,813,145,310,59,139,34,40,7,77,151,27,8,50,70,383,.468,.424,.850,16.3,7.7,1.5,3.0,0.5,0.2,sassema01,NBA,2023-2024
Brice Sensabaugh,202310250UTA,20,1,8,44,8,19,3,8,1,1,1,7,3,1,0,3,3,20,.421,.375,1.000,5.5,2.5,0.9,0.4,0.1,0.0,sensabr01,NBA,2023-2024
Ben Sheppard,202310250IND,22,1,36,401,46,114,25,76,14,17,7,46,28,18,1,7,48,131,.404,.329,.824,11.1,3.6,1.3,0.8,0.5,0.0,sheppbe01,NBA,2023-2024
Dmytro Skapintsev,202312230NYK,25,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.000,,,1.0,0.0,0.0,0.0,0.0,0.0,skapidm01,NBA,2023-2024
Jalen Slawson,202311150LAL,24,1,5,19,2,3,0,1,0,0,0,4,2,0,1,2,3,4,.667,.000,,3.8,0.8,0.8,0.4,0.0,0.2,slawsja01,NBA,2023-2024
Nick Smith Jr.,202310250CHO,19,1,37,573,88,217,51,113,11,13,16,54,45,7,7,32,45,238,.406,.451,.846,15.5,6.4,1.5,1.2,0.2,0.2,smithni01,NBA,2023-2024
Terquavion Smith,202401190ORL,21,1,12,69,16,40,12,31,2,3,0,2,10,7,0,4,4,46,.400,.387,.667,5.8,3.8,0.2,0.8,0.6,0.0,smithte01,NBA,2023-2024
Pat Spencer,202402250GSW,27,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2.0,0.0,0.0,0.0,0.0,0.0,spencpa01,NBA,2023-2024
